Date,Open,High,Low,Close,Volume,Market Cap
2017-10-26,0.716874,0.879866,0.7114520000000001,0.8769299999999999,27934,-
2017-10-27,0.877134,0.892126,0.728342,0.729962,14691,-
2017-10-28,0.731955,0.8108449999999999,0.709162,0.808742,7221,-
2017-10-29,0.807636,0.8689129999999999,0.75532,0.817462,1121,-
2017-10-30,0.812714,0.8704280000000001,0.667583,0.811625,7592,-
2017-10-31,0.729208,1.61,0.6513359999999999,1.61,88656,-
2017-11-01,1.61,1.61,1.06,1.13,29072,-
2017-11-02,1.13,1.42,1.13,1.37,33864,-
2017-11-03,1.37,1.48,1.22,1.34,19561,-
2017-11-04,1.34,1.46,1.32,1.4,12878,-
2017-11-05,1.4,1.47,1.03,1.03,32532,-
2017-11-06,1.04,1.35,1.04,1.25,6828,-
2017-11-07,1.25,1.3,1.18,1.26,8051,-
2017-11-08,1.25,1.39,1.2,1.33,33015,-
2017-11-09,1.33,1.37,1.26,1.27,12786,-
2017-11-10,1.28,1.32,1.15,1.16,7058,-
2017-11-11,1.16,1.23,1.12,1.15,628,-
2017-11-12,1.15,1.17,0.996007,1.06,3424,-
2017-11-13,1.06,1.2,1.04,1.17,13745,-
2017-11-14,1.18,1.33,1.15,1.32,28925,-
2017-11-15,1.32,1.38,1.17,1.2,28228,-
2017-11-16,1.21,1.4,1.17,1.34,4724,-
2017-11-17,1.34,1.46,1.3,1.37,1967,-
2017-11-18,1.37,1.37,0.961583,1.31,29588,-
2017-11-19,1.31,1.4,1.11,1.39,3232,-
2017-11-20,1.39,1.4,1.04,1.12,4482,-
2017-11-21,1.12,1.26,1.02,1.04,11044,-
2017-11-22,1.04,1.15,1.04,1.12,1105,-
2017-11-23,1.12,1.19,0.964566,1.09,4217,-
2017-11-24,1.08,1.12,0.899014,1.11,8197,-
2017-11-25,1.11,1.21,1.1,1.18,7555,-
2017-11-26,1.18,1.38,1.13,1.27,12035,-
2017-11-27,1.27,1.32,1.11,1.26,6882,-
2017-11-28,1.26,1.28,1.09,1.18,2273,-
2017-11-29,1.18,1.32,0.8603709999999999,0.9776799999999999,36843,-
2017-11-30,0.9926969999999999,1.33,0.9863139999999999,1.13,2329,-
2017-12-01,1.13,1.17,0.810466,1.12,22812,-
2017-12-02,1.12,1.19,0.952261,1.06,6655,-
2017-12-03,1.06,1.14,0.9700719999999999,1.06,2073,-
