Date,Open,High,Low,Close,Volume,Market Cap
2018-03-10,65.82,66.18,60.66,62.81,290526,-
2018-03-11,62.04,76.27,60.0,76.27,298409,-
2018-03-12,76.82,86.73,65.21,68.43,732879,-
2018-03-13,68.05,70.61,37.42,46.7,1210660,-
2018-03-14,47.24,52.33,40.67,40.99,761219,-
2018-03-15,41.69,44.3,36.17,40.01,596990,-
2018-03-16,38.49,41.91,32.27,38.2,541483,-
2018-03-17,36.93,37.93,30.12,31.61,492844,-
2018-03-18,28.49,31.29,22.96,30.65,661798,-
2018-03-19,30.7,36.57,30.02,34.21,618000,-
2018-03-20,34.41,35.72,30.76,34.47,620125,-
2018-03-21,34.54,36.0,31.97,32.26,557110,-
2018-03-22,32.27,33.56,29.29,30.06,365000,-
2018-03-23,30.13,30.47,27.74,30.14,618909,-
2018-03-24,30.55,31.32,28.12,28.42,403460,-
2018-03-25,28.19,29.4,27.39,28.89,354274,-
2018-03-26,28.84,28.92,24.27,26.15,470057,-
2018-03-27,26.13,26.77,23.95,25.93,443011,-
2018-03-28,25.93,29.16,25.65,28.15,402676,-
2018-03-29,28.15,29.22,23.78,24.23,296954,-
2018-03-30,24.2,24.96,21.91,24.57,392420,-
2018-03-31,24.29,25.76,23.15,24.41,256142,-
2018-04-01,24.2,24.71,21.5,22.67,203537,-
2018-04-02,22.69,23.65,22.53,23.22,198008,-
2018-04-03,23.24,24.95,22.71,22.98,383172,-
2018-04-04,22.99,23.81,19.85,20.27,316896,-
2018-04-05,20.24,20.84,19.19,20.17,223586,-
2018-04-06,20.11,20.45,18.73,18.9,130238,-
2018-04-07,18.91,19.84,15.54,17.27,315307,-
2018-04-08,17.26,17.78,13.71,14.62,372790,-
2018-04-09,14.63,15.88,14.04,14.33,286241,-
2018-04-10,14.43,15.24,13.92,15.24,251160,-
2018-04-11,15.26,15.38,14.42,15.12,274936,-
2018-04-12,15.04,29.85,14.42,29.56,1069420,-
2018-04-13,30.16,33.64,25.17,27.74,944433,615304000
2018-04-14,26.75,28.64,22.24,24.01,698411,545735000
2018-04-15,24.25,28.89,23.97,26.96,650749,494890000
2018-04-16,27.28,27.78,24.2,25.39,389245,556706000
2018-04-17,25.38,25.87,23.91,23.91,444854,517765000
2018-04-18,23.99,28.54,23.62,27.52,603318,489478000
2018-04-19,27.72,32.95,27.09,31.59,1039730,565649000
2018-04-20,31.68,36.01,30.69,36.01,763061,646469000
2018-04-21,36.09,77.95,35.78,47.28,1700190,736309000
2018-04-22,47.0,57.21,43.41,46.3,2375430,958929000
2018-04-23,46.94,58.11,45.92,53.83,1763280,957855000
