Date,Open,High,Low,Close,Volume,Market Cap
2014-06-17,6.500000000000001e-05,6.500000000000001e-05,5.9999999999999995e-05,5.9999999999999995e-05,2593,10175300
2014-06-18,5.5e-05,7.3e-05,4.9e-05,6.7e-05,14531,8572420
2014-06-19,6.7e-05,7.900000000000001e-05,6.1e-05,6.6e-05,11923,10424400
2014-06-20,6.6e-05,7.2e-05,5.9e-05,6.500000000000001e-05,9531,10262500
2014-06-21,6.500000000000001e-05,6.6e-05,5.9e-05,5.9999999999999995e-05,9797,10197900
2014-06-22,5.9e-05,8.4e-05,5.9e-05,7.8e-05,18882,9287680
2014-06-23,7.8e-05,8.4e-05,7.6e-05,8.3e-05,5535,12226800
2014-06-24,8.3e-05,8.3e-05,5.7999999999999994e-05,5.7999999999999994e-05,16144,12991300
2014-06-25,6.4e-05,6.9e-05,5.6999999999999996e-05,5.6999999999999996e-05,6862,10011100
2014-06-26,5.6999999999999996e-05,6.9e-05,5.1e-05,5.7999999999999994e-05,9498,8858100
2014-06-27,5.7999999999999994e-05,6.500000000000001e-05,5.7999999999999994e-05,5.9999999999999995e-05,1567,9089320
2014-06-28,5.9999999999999995e-05,5.9999999999999995e-05,5.4000000000000005e-05,5.4000000000000005e-05,2040,9374630
2014-06-29,5.4000000000000005e-05,5.9999999999999995e-05,5.4000000000000005e-05,5.4000000000000005e-05,2763,8400930
2014-06-30,5.4000000000000005e-05,6.3e-05,5e-05,5.1e-05,5260,8494400
2014-07-01,5.1e-05,5.3e-05,3.9e-05,5.1e-05,3807,8058680
2014-07-02,5.1e-05,5.1e-05,3.2e-05,4.6e-05,2441,8028330
2014-07-03,4.6e-05,4.6e-05,3.8e-05,3.9e-05,2646,7142670
2014-07-04,3.9e-05,5.6999999999999996e-05,3.9e-05,5e-05,11741,6071930
2014-07-05,5e-05,5.6999999999999996e-05,4.4e-05,4.4e-05,2308,7910050
2014-07-06,4.4e-05,5.1e-05,4.4e-05,4.4e-05,3619,6939720
2014-07-07,4.5e-05,5e-05,3.7e-05,3.7e-05,3244,6991590
2014-07-08,3.7e-05,4.4e-05,3.1e-05,4.4e-05,3122,5871570
2014-07-09,4.4e-05,4.4e-05,3.1e-05,3.1e-05,1022,6879050
2014-07-10,3.1e-05,5.6000000000000006e-05,3.1e-05,4.9e-05,12453,4916300
2014-07-11,4.9e-05,6.2e-05,4.3e-05,5.1e-05,10528,7760190
2014-07-12,5.1e-05,6.3e-05,4.4e-05,4.4e-05,4235,7959760
2014-07-13,4.4e-05,5e-05,3.8e-05,3.8e-05,4226,6993010
2014-07-14,3.8e-05,5.6000000000000006e-05,3.7e-05,5e-05,7401,5925250
2014-07-15,5e-05,5e-05,4.3e-05,4.4e-05,1100,7815600
2014-07-16,4.4e-05,5e-05,3.7e-05,3.7e-05,1387,6872480
2014-07-17,3.7e-05,4.9e-05,3.7e-05,3.7e-05,1098,5851570
2014-07-18,3.7e-05,4.4e-05,3.7e-05,3.8e-05,1946,5899400
2014-07-19,3.8e-05,4.4e-05,3.8e-05,3.8e-05,650,5971260
2014-07-20,3.8e-05,4.4e-05,3.7e-05,3.7e-05,2142,5964340
2014-07-21,3.7e-05,4.4e-05,2.5e-05,3.1e-05,7383,5922150
2014-07-22,3.1e-05,3.7e-05,3.1e-05,3.1e-05,1748,4923530
2014-07-23,3.1e-05,3.7e-05,3.1e-05,3.1e-05,1449,4919050
2014-07-24,3.1e-05,3.1e-05,2.9999999999999997e-05,2.9999999999999997e-05,2827,4905460
2014-07-25,2.9999999999999997e-05,3.6e-05,2.4e-05,2.9999999999999997e-05,1931,4765710
2014-07-26,2.9999999999999997e-05,2.9999999999999997e-05,2.4e-05,2.4e-05,618,4757390
2014-07-27,2.4e-05,2.9999999999999997e-05,2.4e-05,2.4e-05,329,3813420
2014-07-28,2.4e-05,2.9999999999999997e-05,2.3e-05,2.4e-05,655,3770510
2014-07-29,2.4e-05,2.8999999999999997e-05,2.3e-05,2.3e-05,2535,3761000
2014-07-30,2.3e-05,2.7000000000000002e-05,2.3e-05,2.5e-05,5572,3701550
2014-07-31,2.5e-05,2.5e-05,2e-05,2e-05,1229,3977150
2014-08-01,2e-05,2.8000000000000003e-05,1.9e-05,2.4e-05,2175,3120220
2014-08-02,2.4e-05,2.6000000000000002e-05,2.1e-05,2.4e-05,1724,3783140
2014-08-03,2.4e-05,2.4e-05,2.2e-05,2.3e-05,3149,3743580
2014-08-04,2.3e-05,2.4e-05,1.9e-05,1.9e-05,7626,3731270
2014-08-05,1.9e-05,2e-05,1.7e-05,1.7e-05,706,3072880
2014-08-06,1.7e-05,2e-05,1.6e-05,1.8e-05,7420,2771680
2014-08-07,1.8e-05,2.1e-05,1.7e-05,1.7e-05,1109,2794180
2014-08-08,1.7e-05,2.1e-05,1.7e-05,1.8e-05,1019,2729870
2014-08-09,1.8e-05,2.2e-05,1.2e-05,1.6e-05,2552,2835010
2014-08-10,1.6e-05,1.8e-05,1.2e-05,1.3000000000000001e-05,632,2618310
2014-08-11,1.3000000000000001e-05,2e-05,1.2e-05,1.2e-05,899,2112540
2014-08-12,1.2e-05,1.7e-05,1.1e-05,1.6e-05,15690,1935790
2014-08-13,1.6e-05,2.1e-05,1.1e-05,1.7e-05,1735,2529190
2014-08-14,1.7e-05,2.4e-05,1.4999999999999999e-05,2.1e-05,5393,2648230
2014-08-15,2.1e-05,2.5e-05,2e-05,2.3e-05,5821,3342750
2014-08-16,2.3e-05,2.7000000000000002e-05,2e-05,2.6000000000000002e-05,3894,3633970
2014-08-17,2.6000000000000002e-05,2.6000000000000002e-05,1.6e-05,1.7e-05,3676,4127750
2014-08-18,1.7e-05,2e-05,1.4000000000000001e-05,1.8e-05,2381,2685790
2014-08-19,1.8e-05,1.9e-05,1.8e-05,1.8e-05,6566,2848380
2014-08-20,1.8e-05,2e-05,1.6e-05,1.6e-05,2696,2944160
2014-08-21,1.6e-05,2.3e-05,1.6e-05,2.3e-05,1763,2549710
2014-08-22,2.3e-05,2.9999999999999997e-05,1.7e-05,2.7000000000000002e-05,13695,3658120
2014-08-23,2.7000000000000002e-05,2.8999999999999997e-05,2e-05,2.3e-05,4583,4271750
2014-08-24,2.3e-05,2.4e-05,2.1e-05,2.1e-05,46,3771490
2014-08-25,2.1e-05,2.5e-05,2.1e-05,2.3e-05,1373,3417650
2014-08-26,2.3e-05,2.5e-05,2.1e-05,2.1e-05,4730,3770280
2014-08-27,2.1e-05,2.5e-05,2.1e-05,2.3e-05,4623,3432850
2014-08-28,2.3e-05,2.3e-05,2.1e-05,2.1e-05,2264,3736180
2014-08-29,2.1e-05,2.3e-05,1.8e-05,1.9e-05,9769,3322730
2014-08-30,1.9e-05,1.9e-05,1.8e-05,1.8e-05,958,3023300
2014-08-31,1.8e-05,2e-05,1.6e-05,1.6e-05,4507,2829310
2014-09-01,1.6e-05,2e-05,1.6e-05,1.7e-05,1135,2607540
2014-09-02,1.7e-05,1.9e-05,1.6e-05,1.8e-05,703,2767750
2014-09-03,1.8e-05,1.9e-05,1.6e-05,1.7e-05,3870,2865620
2014-09-04,1.6e-05,2.2e-05,1.6e-05,1.8e-05,13517,2659540
2014-09-05,1.9e-05,1.9e-05,1.6e-05,1.8e-05,3794,3092540
2014-09-06,1.8e-05,1.9e-05,1.7e-05,1.8e-05,3216,2854060
2014-09-07,1.8e-05,1.8e-05,1.4999999999999999e-05,1.8e-05,1913,2979410
2014-09-08,1.7e-05,1.8e-05,1.6e-05,1.8e-05,3499,2786110
