Date,Open,High,Low,Close,Volume,Market Cap
2014-03-20,2.4e-05,2.9999999999999997e-05,1.8e-05,2.4e-05,1127,130891
2014-03-21,2.4e-05,3.8e-05,1.4000000000000001e-05,3.8e-05,9083,135214
2014-03-22,3.8e-05,5.4000000000000005e-05,1.8e-05,3.8e-05,38395,234083
2014-03-23,4e-05,0.00010400000000000001,1.3000000000000001e-05,3.9e-05,13099,257163
2014-03-24,3.4e-05,4.3e-05,1.3000000000000001e-05,3.5e-05,4198,234306
2014-03-25,3.5e-05,4.5e-05,1.9e-05,3.5e-05,27249,253611
2014-03-26,3.5e-05,4.9e-05,3.4e-05,4.6e-05,19966,267058
2014-03-27,4.6e-05,5.6999999999999996e-05,2.8999999999999997e-05,3.3e-05,31524,370866
2014-03-28,3.3e-05,3.9e-05,2.5e-05,2.9999999999999997e-05,18327,278954
2014-03-29,2.5e-05,3.6e-05,2e-05,3.1e-05,14715,218892
2014-03-30,2.8999999999999997e-05,3.1e-05,1.8e-05,1.8e-05,14756,265635
2014-03-31,1.8e-05,2.4e-05,9e-06,2.2e-05,12412,174247
2014-04-01,1.8e-05,2.3e-05,1.4000000000000001e-05,1.4999999999999999e-05,6002,178651
2014-04-02,1.4999999999999999e-05,1.9e-05,9e-06,1.3000000000000001e-05,6040,152781
2014-04-03,1.3000000000000001e-05,2.2e-05,9e-06,1.8e-05,8007,138096
2014-04-04,1.8e-05,2.2e-05,1.3000000000000001e-05,1.4000000000000001e-05,5838,193860
2014-04-05,1.4000000000000001e-05,3.1e-05,1.4000000000000001e-05,2.7000000000000002e-05,17758,155430
2014-04-06,2.7000000000000002e-05,2.8000000000000003e-05,1.9e-05,2.7000000000000002e-05,16069,319840
2014-04-07,2.7000000000000002e-05,2.7000000000000002e-05,1.8e-05,1.8e-05,14351,327839
2014-04-08,1.8e-05,2.3e-05,1.4000000000000001e-05,1.8e-05,8906,222022
2014-04-09,1.8e-05,2.2e-05,1.3000000000000001e-05,1.7e-05,6692,230089
2014-04-10,1.7e-05,2.1e-05,1.1e-05,1.1e-05,5354,226377
2014-04-11,1.1e-05,2.1e-05,1.1e-05,1.3000000000000001e-05,8453,151969
2014-04-12,1.3000000000000001e-05,2.2e-05,1.3000000000000001e-05,1.7e-05,6116,174715
2014-04-13,1.7e-05,2.1e-05,1.2e-05,2.1e-05,13792,237527
2014-04-14,1.7e-05,5.9e-05,1.7e-05,4.1e-05,204410,240485
2014-04-15,4.1e-05,4.6e-05,2.5e-05,3.1e-05,64376,611521
2014-04-16,3.1e-05,4.2e-05,2.6000000000000002e-05,3.7e-05,56062,469277
2014-04-17,3.2e-05,4.2e-05,2.8999999999999997e-05,3.5e-05,39033,491982
2014-04-18,2.9999999999999997e-05,3.9e-05,2.8999999999999997e-05,3.4e-05,18880,473392
2014-04-19,3.4e-05,3.9e-05,2.8999999999999997e-05,3.5e-05,17765,541094
2014-04-20,3.5e-05,3.6e-05,2.5e-05,2.9999999999999997e-05,33552,569200
2014-04-21,2.9999999999999997e-05,3.6e-05,2.5e-05,2.9999999999999997e-05,18682,493629
2014-04-22,3.5e-05,3.5e-05,2.5e-05,2.8999999999999997e-05,12575,580383
2014-04-23,2.8999999999999997e-05,3.4e-05,2e-05,2.8999999999999997e-05,14271,489468
2014-04-24,2.8999999999999997e-05,2.8999999999999997e-05,1.4999999999999999e-05,2e-05,13872,493578
2014-04-25,2e-05,2.5e-05,1.8e-05,2.3e-05,6482,335537
2014-04-26,1.9e-05,2.3e-05,1.4000000000000001e-05,1.8e-05,5685,313298
2014-04-27,1.8e-05,2e-05,1.3000000000000001e-05,1.7e-05,2057,308144
2014-04-28,1.7e-05,1.8e-05,1.3000000000000001e-05,1.7e-05,1716,291968
2014-04-29,1.7e-05,1.8e-05,1.3000000000000001e-05,1.4000000000000001e-05,2132,292688
2014-04-30,1.4000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,5314,229176
2014-05-01,1.3000000000000001e-05,1.8e-05,9e-06,1.4000000000000001e-05,3196,225415
2014-05-02,1.4000000000000001e-05,1.8e-05,9e-06,1.4000000000000001e-05,1949,230228
2014-05-03,1.4000000000000001e-05,1.8e-05,1.3000000000000001e-05,1.3000000000000001e-05,2125,231685
2014-05-04,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,3635,220728
2014-05-05,1.3000000000000001e-05,1.7e-05,1.3000000000000001e-05,1.3000000000000001e-05,1840,219907
2014-05-06,1.3000000000000001e-05,1.7e-05,9e-06,1.3000000000000001e-05,1052,218459
2014-05-07,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,447,215725
2014-05-08,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,1389,220239
2014-05-09,1.3000000000000001e-05,1.8e-05,9e-06,1.8e-05,3577,222080
2014-05-10,1.8e-05,1.8e-05,1.3000000000000001e-05,1.8e-05,1400,301826
2014-05-11,1.8e-05,1.8e-05,1.3000000000000001e-05,1.3000000000000001e-05,522,304218
2014-05-12,1.3000000000000001e-05,1.8e-05,1.3000000000000001e-05,1.7e-05,566,225464
2014-05-13,1.7e-05,1.8e-05,1.3000000000000001e-05,1.3000000000000001e-05,1765,289609
2014-05-14,1.3000000000000001e-05,1.8e-05,9e-06,1.3000000000000001e-05,1661,222850
2014-05-15,1.3000000000000001e-05,1.4000000000000001e-05,9e-06,9e-06,1065,224121
2014-05-16,9e-06,1.4000000000000001e-05,9e-06,1.3000000000000001e-05,458,155610
2014-05-17,1.3000000000000001e-05,1.3000000000000001e-05,9e-06,1.3000000000000001e-05,259,225418
2014-05-18,1.3000000000000001e-05,1.3000000000000001e-05,9e-06,9e-06,423,224270
2014-05-19,9e-06,1.3000000000000001e-05,9e-06,9e-06,2693,154488
2014-05-20,9e-06,1.4999999999999999e-05,9e-06,1.4000000000000001e-05,688,150553
2014-05-21,1.4000000000000001e-05,1.4999999999999999e-05,5e-06,1e-05,1836,243885
2014-05-22,1e-05,1.1e-05,5e-06,1e-05,1869,166124
2014-05-23,1e-05,1.1e-05,5e-06,1e-05,3530,173649
2014-05-24,1e-05,1e-05,5e-06,1e-05,2632,175211
2014-05-25,1e-05,1.6e-05,6e-06,1.1e-05,812,164177
2014-05-26,1.1e-05,1.4000000000000001e-05,7.000000000000001e-06,1.3000000000000001e-05,673,188822
2014-05-27,1.3000000000000001e-05,1.6e-05,6e-06,7.000000000000001e-06,566,221904
2014-05-28,1.1e-05,1.2e-05,6e-06,6e-06,458,191923
2014-05-29,9e-06,1.1e-05,6e-06,1.1e-05,661,158614
2014-05-30,1.1e-05,1.2e-05,6e-06,7.000000000000001e-06,797,191399
2014-05-31,7.000000000000001e-06,1.2e-05,7.000000000000001e-06,1.2e-05,658,112781
2014-06-01,1.2e-05,1.3000000000000001e-05,6e-06,1.2e-05,3425,209619
2014-06-02,1.2e-05,1.3000000000000001e-05,6e-06,1.3000000000000001e-05,992,209481
2014-06-03,1.3000000000000001e-05,1.3000000000000001e-05,6e-06,6e-06,6452,220700
2014-06-04,6e-06,6e-06,5e-06,6e-06,433,109768
2014-06-05,6e-06,7.000000000000001e-06,6e-06,7.000000000000001e-06,673,102969
2014-06-06,7.000000000000001e-06,9e-06,6e-06,7.000000000000001e-06,109,116097
2014-06-07,7.000000000000001e-06,7.000000000000001e-06,6e-06,6e-06,332,112558
2014-06-08,6e-06,6e-06,4e-06,4e-06,1221,109049
2014-06-09,4e-06,7.000000000000001e-06,4e-06,5e-06,467,74917
2014-06-10,5e-06,6e-06,4e-06,4e-06,203,83324
2014-06-11,4e-06,4e-06,3e-06,3e-06,324,69447
2014-06-12,3e-06,5e-06,3e-06,3e-06,74,56265
2014-06-13,3e-06,4e-06,2e-06,2e-06,356,55957
