Date,Open,High,Low,Close,Volume,Market Cap
2017-07-02,2e-06,6e-06,1e-06,5e-06,1555,43048
2017-07-03,5e-06,1e-05,4e-06,1e-05,2294,88530
2017-07-04,7.000000000000001e-06,1.6e-05,7.000000000000001e-06,1e-05,2338,137282
2017-07-05,1e-05,1.4999999999999999e-05,7.000000000000001e-06,9e-06,1634,194543
2017-07-06,9e-06,1.3000000000000001e-05,8e-06,9e-06,3437,164331
2017-07-07,9e-06,1.3000000000000001e-05,6e-06,1.2e-05,827,163384
2017-07-08,1.2e-05,1.4000000000000001e-05,2e-06,8e-06,798,229402
2017-07-09,8e-06,9e-06,3e-06,5e-06,225,162134
2017-07-10,5e-06,9e-06,3e-06,8e-06,129,103039
2017-07-11,8e-06,1.4000000000000001e-05,5e-06,1.2e-05,275,165394
2017-07-12,1.2e-05,1.6e-05,1.2e-05,1.3000000000000001e-05,678,237802
2017-07-13,1.3000000000000001e-05,2e-05,7.000000000000001e-06,2e-05,340,256057
2017-07-14,2e-05,2.1e-05,1.4000000000000001e-05,1.4999999999999999e-05,163,388960
2017-07-15,1.4999999999999999e-05,2.1e-05,6e-06,1.9e-05,930,292512
2017-07-16,1.9e-05,1.9e-05,7.000000000000001e-06,1.4999999999999999e-05,61,365891
2017-07-17,1.4999999999999999e-05,1.7e-05,1.2e-05,1.4999999999999999e-05,311,296289
2017-07-18,1.4999999999999999e-05,2.2e-05,8e-06,1.8e-05,666,295134
2017-07-19,1.8e-05,2.2e-05,8e-06,8e-06,170,362613
2017-07-20,8e-06,1.8e-05,7.000000000000001e-06,1.7e-05,101,148772
2017-07-21,1.7e-05,2.4e-05,6e-06,2.3e-05,392,340939
2017-07-22,2.3e-05,2.6000000000000002e-05,7.000000000000001e-06,1.2e-05,14,463610
2017-07-23,1.2e-05,2.7000000000000002e-05,8e-06,2.7000000000000002e-05,34,237543
2017-07-24,2.7000000000000002e-05,2.7000000000000002e-05,1e-05,1e-05,72,527646
2017-07-25,1e-05,1.1e-05,6e-06,7.000000000000001e-06,81,199640
2017-07-26,7.000000000000001e-06,1.6e-05,3e-06,6e-06,69,136899
2017-07-27,6e-06,1e-05,4e-06,9e-06,89,114632
2017-07-28,1e-05,2.1e-05,9e-06,1.1e-05,128,188918
2017-07-29,1.1e-05,1.1e-05,2e-06,3e-06,57,213269
2017-07-30,3e-06,1.2e-05,2e-06,1.2e-05,225,57308
2017-07-31,1.2e-05,1.7e-05,2e-06,2e-06,134,235522
2017-08-01,2e-06,3e-06,2e-06,3e-06,41,42049
2017-08-02,3e-06,4e-06,2e-06,2e-06,52,60077
2017-08-03,2e-06,2.5e-05,2e-06,1.8e-05,78,33257
2017-08-04,1.8e-05,2.5e-05,1.8e-05,2.1e-05,215,365326
2017-08-05,2.1e-05,2.4e-05,6e-06,6e-06,68,424312
2017-08-06,6e-06,1.9e-05,6e-06,1.8e-05,150,129357
2017-08-07,1.8e-05,3.1e-05,7.000000000000001e-06,7.000000000000001e-06,104,365858
2017-08-08,7.000000000000001e-06,2.4e-05,6e-06,2.4e-05,62,136490
2017-08-09,2.4e-05,3.2e-05,7.000000000000001e-06,1.3000000000000001e-05,43,471298
2017-08-10,1.3000000000000001e-05,3.2e-05,1.3000000000000001e-05,3.1e-05,441,267735
2017-08-11,3.1e-05,3.6e-05,1.2e-05,3.6e-05,334,614092
2017-08-12,3.6e-05,3.7e-05,5e-06,3.6e-05,643,713656
2017-08-13,3.6e-05,4e-05,3e-06,6e-06,1370,723844
2017-08-14,6e-06,8e-06,5e-06,6e-06,612,112172
2017-08-15,6e-06,9e-06,4e-06,7.000000000000001e-06,468,112646
2017-08-16,9e-06,2.1e-05,4e-06,1.7e-05,137,179165
2017-08-17,1.7e-05,1.7e-05,5e-06,5e-06,419,337366
2017-08-18,5e-06,0.00014,5e-06,1.2e-05,3435,102605
2017-08-19,1.2e-05,3.5e-05,1.2e-05,2.9999999999999997e-05,962,246953
2017-08-20,2.9999999999999997e-05,2.9999999999999997e-05,8e-06,8e-06,314,600818
2017-08-21,8e-06,2.1e-05,8e-06,2.1e-05,117,169287
