Date,Open,High,Low,Close,Volume,Market Cap
2016-07-24,0.7523449999999999,0.959354,0.737342,0.9288139999999999,17769300,-
2016-07-25,0.9319930000000001,0.9328620000000001,0.452446,0.602402,9308400,76700600
2016-07-26,0.604737,2.85,0.600358,2.55,103066000,49768300
2016-07-27,2.46,2.46,1.26,1.6,62645700,202315000
2016-07-28,1.56,1.92,1.37,1.73,40291300,128530000
2016-07-29,1.71,1.8,1.55,1.64,20745500,140887000
2016-07-30,1.66,1.71,1.55,1.57,10061600,136213000
2016-07-31,1.57,1.91,1.56,1.8,29167500,129265000
2016-08-01,1.79,2.34,1.78,2.34,45924200,147548000
2016-08-02,2.36,3.53,2.31,2.76,147855000,194318000
2016-08-03,2.78,3.2,2.36,2.6,74184500,228712000
2016-08-04,2.59,2.76,2.1,2.34,43516500,213375000
2016-08-05,2.35,2.6,2.28,2.59,20254400,193412000
2016-08-06,2.59,2.86,2.57,2.7,22874700,213044000
2016-08-07,2.7,2.74,2.06,2.15,31153900,222683000
2016-08-08,2.16,2.38,2.05,2.19,15781200,178435000
2016-08-09,2.17,2.22,1.79,1.95,23612300,179978000
2016-08-10,1.94,2.04,1.64,1.71,20082200,160983000
2016-08-11,1.72,1.96,1.59,1.85,17263000,142268000
2016-08-12,1.84,2.09,1.8,1.85,15418800,152797000
2016-08-13,1.86,1.93,1.82,1.87,3822490,153918000
2016-08-14,1.87,1.98,1.87,1.93,6985300,154946000
2016-08-15,1.93,2.0,1.83,1.86,7282060,159898000
2016-08-16,1.87,1.9,1.8,1.86,4062150,154786000
2016-08-17,1.86,1.87,1.72,1.74,5087980,154458000
2016-08-18,1.74,1.78,1.65,1.69,4469650,144697000
2016-08-19,1.68,1.81,1.61,1.79,6186480,139926000
2016-08-20,1.78,1.78,1.68,1.74,3315060,147957000
2016-08-21,1.75,1.77,1.7,1.72,1866780,145110000
2016-08-22,1.73,1.74,1.62,1.67,4757220,143596000
2016-08-23,1.67,1.68,1.56,1.6,6292880,139367000
2016-08-24,1.61,1.64,1.44,1.44,6191350,133732000
2016-08-25,1.44,1.45,1.26,1.37,9500860,120071000
2016-08-26,1.37,1.47,1.31,1.44,6251250,114207000
2016-08-27,1.44,1.46,1.35,1.35,3494870,119989000
2016-08-28,1.35,1.36,1.29,1.32,4837510,112287000
2016-08-29,1.32,1.34,1.23,1.26,6289800,109994000
