Date,Open,High,Low,Close,Volume,Market Cap
2015-08-07,2.83,3.54,2.52,2.77,164329,-
2015-08-08,2.79,2.8,0.714725,0.753325,674188,167911000
2015-08-09,0.706136,0.87981,0.629191,0.701897,532170,42637600
2015-08-10,0.713989,0.729854,0.6365460000000001,0.708448,405283,43130000
2015-08-11,0.708087,1.13,0.663235,1.07,1463100,42796500
2015-08-12,1.06,1.29,0.883608,1.22,2150620,64018400
2015-08-13,1.22,1.97,1.17,1.83,4068680,73935400
2015-08-14,1.81,2.26,1.75,1.83,4637030,109594000
2015-08-15,1.8,1.88,1.57,1.69,2554360,109160000
2015-08-16,1.68,1.7,1.09,1.57,3550790,102028000
2015-08-17,1.58,1.58,1.19,1.2,1942830,95819700
2015-08-18,1.22,1.33,1.09,1.09,1485680,88143200
2015-08-19,1.17,1.32,1.17,1.26,1486240,84663900
2015-08-20,1.25,1.53,1.25,1.46,2843760,90809000
2015-08-21,1.48,1.56,1.35,1.4,2020970,107266000
2015-08-22,1.4,1.48,1.35,1.38,948310,101404000
2015-08-23,1.38,1.41,1.3,1.35,1589300,99894500
2015-08-24,1.35,1.36,1.23,1.23,924920,97791600
2015-08-25,1.23,1.24,1.13,1.14,1307180,89321900
2015-08-26,1.13,1.2,1.06,1.16,1056750,82384400
2015-08-27,1.17,1.19,1.14,1.15,686662,85106100
2015-08-28,1.15,1.21,1.12,1.19,721872,83521700
2015-08-29,1.19,1.21,1.15,1.18,375377,86887600
2015-08-30,1.18,1.37,1.17,1.32,1337650,86145900
2015-08-31,1.32,1.4,1.2,1.36,1447180,96251000
2015-09-01,1.35,1.39,1.34,1.35,778862,98617200
2015-09-02,1.35,1.35,1.26,1.29,883769,98504600
2015-09-03,1.3,1.31,1.21,1.26,702991,94418700
2015-09-04,1.26,1.3,1.24,1.27,474391,92234100
2015-09-05,1.28,1.34,1.27,1.34,448453,93402300
2015-09-06,1.34,1.37,1.29,1.3,491968,97625500
2015-09-07,1.3,1.31,1.24,1.25,489014,94585300
2015-09-08,1.25,1.28,1.23,1.24,427892,91020700
2015-09-09,1.24,1.26,1.2,1.21,366748,90518300
2015-09-10,1.21,1.22,1.14,1.17,662782,88230500
2015-09-11,1.16,1.17,0.940675,0.982978,1942600,85144300
2015-09-12,0.9872280000000001,1.11,0.96978,1.04,772430,72179000
2015-09-13,1.04,1.04,0.902832,0.936003,644138,76193600
2015-09-14,0.940566,0.9493870000000001,0.8717600000000001,0.8756219999999999,741085,68814400
2015-09-15,0.875189,1.05,0.875189,0.9444100000000001,703390,64052400
2015-09-16,0.9419770000000001,0.9526979999999999,0.901639,0.907175,615593,68963300
2015-09-17,0.9068649999999999,0.9092040000000001,0.831132,0.874231,897940,66415200
2015-09-18,0.874574,0.8881020000000001,0.833908,0.853685,484622,64071300
2015-09-19,0.8496030000000001,0.911883,0.833784,0.882391,386988,62262700
2015-09-20,0.881191,0.947741,0.8732049999999999,0.9384450000000001,508314,64600000
2015-09-21,0.9414959999999999,0.957326,0.878301,0.919047,424039,69045900
2015-09-22,0.9193370000000001,0.9193370000000001,0.865225,0.9017959999999999,487914,67444200
2015-09-23,0.90356,0.90891,0.885136,0.8934059999999999,200541,66309600
2015-09-24,0.8967959999999999,0.9085709999999999,0.79346,0.81361,842505,65836400
2015-09-25,0.820031,0.825665,0.712745,0.736223,903457,60221400
2015-09-26,0.73763,0.7875439999999999,0.709328,0.785964,369620,54188900
2015-09-27,0.791277,0.791277,0.719169,0.720839,413801,58149600
2015-09-28,0.723715,0.725677,0.557062,0.582886,1320890,53201800
2015-09-29,0.579414,0.67583,0.558346,0.661146,913992,42607700
2015-09-30,0.661192,0.746722,0.635861,0.738644,619926,48636600
