Date,Open,High,Low,Close,Volume,Market Cap
2017-06-25,5.89,6.45,5.41,5.79,19932900,-
2017-06-26,5.72,5.92,4.19,4.94,28563200,-
2017-06-27,4.82,5.23,4.31,5.04,22311100,-
2017-06-28,5.06,5.74,4.73,5.59,19256100,-
2017-06-29,5.6,6.28,5.31,5.74,19294900,-
2017-06-30,5.7,5.76,5.27,5.34,7081180,-
2017-07-01,5.35,5.44,4.74,4.82,7720920,-
2017-07-02,4.78,4.78,4.09,4.57,16650900,-
2017-07-03,4.56,4.72,4.19,4.36,15415000,-
2017-07-04,4.39,4.81,4.34,4.42,9322980,-
2017-07-05,4.43,4.44,4.12,4.21,6349300,-
2017-07-06,4.25,4.38,4.04,4.09,7483880,-
2017-07-07,4.07,4.41,3.24,3.31,15025100,-
2017-07-08,3.35,3.35,2.35,3.16,18588500,-
2017-07-09,3.23,3.45,2.72,2.72,7068320,-
2017-07-10,2.71,2.72,1.92,2.18,6483750,-
2017-07-11,2.06,2.18,1.5,1.75,11020100,-
2017-07-12,1.75,2.45,1.62,2.39,13998200,-
2017-07-13,2.39,2.6,2.0,2.09,8192400,-
2017-07-14,2.09,2.15,1.82,1.86,3952140,-
2017-07-15,1.87,1.89,1.62,1.71,3939170,-
2017-07-16,1.74,1.84,1.64,1.78,3471250,-
2017-07-17,1.82,2.19,1.8,2.05,10596300,-
2017-07-18,2.07,2.19,1.97,2.13,12094000,-
2017-07-19,2.16,2.47,1.99,2.22,18533300,-
2017-07-20,2.25,2.62,2.22,2.54,12833800,-
2017-07-21,2.56,3.37,2.49,3.16,27963500,-
2017-07-22,3.17,3.22,2.91,2.96,12223700,-
2017-07-23,2.95,3.01,2.28,2.48,12717800,-
2017-07-24,2.54,2.66,2.38,2.56,5081500,-
2017-07-25,2.56,2.64,2.02,2.1,7587630,-
2017-07-26,2.13,2.46,2.02,2.34,12395500,-
2017-07-27,2.35,2.45,2.24,2.33,6969470,-
2017-07-28,2.33,2.34,2.08,2.11,3430580,-
2017-07-29,2.11,2.11,1.9,2.07,3123300,-
2017-07-30,2.07,2.07,1.96,2.0,1301850,-
2017-07-31,1.99,2.16,1.95,2.04,2832030,-
2017-08-01,2.05,2.15,1.93,2.08,4000340,-
2017-08-02,2.07,2.14,2.04,2.07,2719550,-
2017-08-03,2.07,2.37,2.0,2.29,5704680,-
2017-08-04,2.29,2.51,2.27,2.45,6545050,-
2017-08-05,2.44,2.82,2.3,2.73,9740210,-
2017-08-06,2.72,2.9,2.61,2.64,8078250,-
2017-08-07,2.65,4.19,2.51,4.19,37658900,-
2017-08-08,4.17,4.55,3.51,3.9,29506400,-
2017-08-09,3.91,4.14,3.59,3.89,20129200,-
2017-08-10,3.87,5.25,3.8,4.61,37193300,-
2017-08-11,4.66,5.85,4.45,5.43,43319000,-
2017-08-12,5.43,5.63,4.55,4.68,13952200,-
2017-08-13,4.62,4.95,4.05,4.72,19964500,-
2017-08-14,4.71,5.7,4.59,5.1,29115100,-
2017-08-15,5.05,5.19,4.53,4.79,17859800,-
2017-08-16,4.83,5.18,4.81,4.97,12826700,-
2017-08-17,4.97,5.55,4.68,4.9,19735300,-
2017-08-18,4.91,4.92,3.62,3.98,14236800,-
2017-08-19,3.93,4.15,3.42,3.94,15168900,-
2017-08-20,3.89,3.98,3.63,3.76,8860590,-
2017-08-21,3.77,3.85,3.2,3.23,8197790,-
2017-08-22,3.23,3.24,2.8,3.14,13002400,-
2017-08-23,3.11,4.03,3.1,3.98,24454300,-
2017-08-24,3.93,4.16,3.76,3.95,11963100,-
2017-08-25,3.96,3.99,3.54,3.68,6964490,-
2017-08-26,3.67,3.88,3.42,3.77,8362080,-
2017-08-27,3.76,3.82,3.59,3.73,4764310,-
2017-08-28,3.7,3.82,3.44,3.56,6079810,-
2017-08-29,3.54,4.04,3.53,3.79,11299100,-
2017-08-30,3.79,3.93,2.99,3.61,13736700,-
2017-08-31,3.58,3.71,3.38,3.59,6137730,139800000
2017-09-01,3.56,3.62,3.5,3.5,5953820,139010000
2017-09-02,3.5,3.52,2.86,3.02,9753870,136437000
2017-09-03,3.0,3.05,2.54,2.75,9183780,121502000
2017-09-04,2.71,2.72,1.64,1.69,12014400,109874000
2017-09-05,1.67,1.67,1.05,1.45,4437050,67652800
2017-09-06,1.45,2.39,1.45,2.39,62560,58874000
2017-09-07,2.4,2.43,1.37,1.72,47692,97204400
2017-09-08,1.72,2.29,1.31,1.54,84189,69863300
2017-09-09,1.54,1.85,1.16,1.16,104109,62517800
2017-09-10,1.16,1.54,1.16,1.32,68596,46888400
2017-09-11,1.32,1.97,1.27,1.94,97371,53434300
2017-09-12,1.94,2.22,1.53,1.53,66266,78645600
2017-09-13,1.53,1.84,1.38,1.57,41762,62013900
2017-09-14,1.57,1.76,1.1,1.17,219333,63779200
2017-09-15,1.17,1.3,0.626217,1.07,141342,47597300
2017-09-16,1.07,1.28,0.9154370000000001,0.930694,64455,43265100
2017-09-17,0.930694,1.05,0.840676,0.946189,26590,37702400
2017-09-18,0.9471360000000001,1.14,0.8707540000000001,1.06,54741,38368500
2017-09-19,1.06,1.27,1.01,1.22,53021,43141000
2017-09-20,1.22,1.72,1.22,1.41,20003,49219900
2017-09-21,1.41,2.49,1.4,1.95,57206,56931700
2017-09-22,1.95,2.35,1.95,2.2,9162,78988700
2017-09-23,2.2,2.65,2.17,2.58,50845,89076800
2017-09-24,2.58,2.88,1.78,2.05,15399,104435000
2017-09-25,2.04,2.04,1.8,2.04,5,82763600
2017-09-26,2.04,2.74,1.96,1.96,3238,82613200
2017-09-27,1.96,2.42,1.96,2.41,10225,79330700
2017-09-28,2.41,2.68,2.23,2.32,14900,97818700
2017-09-29,2.32,2.66,2.27,2.32,13615,93979500
2017-09-30,2.32,2.58,2.29,2.52,11370,94086800
2017-10-01,2.52,2.53,2.38,2.43,3995,102085000
2017-10-02,2.43,2.5,1.97,2.42,15690,98454700
2017-10-03,2.42,2.42,2.05,2.26,897,98061800
2017-10-04,2.26,2.26,2.1,2.11,5453,91642700
2017-10-05,2.11,2.22,1.98,2.03,2006,85675700
2017-10-06,2.03,2.3,2.03,2.06,1455,82321300
2017-10-07,2.06,2.28,1.96,2.13,2286,83276500
2017-10-08,2.13,2.18,1.77,1.84,4981,86225100
2017-10-09,1.84,1.85,1.73,1.82,576,74658200
2017-10-10,1.68,1.78,1.44,1.52,760003,68093400
2017-10-11,1.5,2.13,1.5,1.94,2673230,60628200
2017-10-12,1.81,1.98,1.74,1.85,415450,73298800
2017-10-13,1.84,1.97,1.59,1.71,2217590,74349000
2017-10-14,1.7,1.79,1.65,1.69,1630090,69065700
2017-10-15,1.7,1.77,1.54,1.67,79672,68775500
2017-10-16,1.66,1.82,1.64,1.79,1612950,67240900
2017-10-17,1.79,1.84,1.72,1.79,85038,72597300
2017-10-18,1.79,1.79,1.56,1.78,1127960,72433100
2017-10-19,1.71,1.8,1.67,1.77,1086660,69084500
2017-10-20,1.77,1.86,1.68,1.82,3118770,71542800
2017-10-21,1.81,1.82,1.62,1.65,2269620,73135400
2017-10-22,1.68,1.7,1.59,1.7,2266290,67996100
2017-10-23,1.69,1.72,1.58,1.65,2197330,68635400
2017-10-24,1.65,1.71,1.56,1.63,1603570,66921700
2017-10-25,1.63,1.72,1.62,1.71,1586590,65943200
2017-10-26,1.71,1.84,1.69,1.79,1642150,69223800
2017-10-27,1.79,1.82,1.7,1.73,2001740,72472700
2017-10-28,1.74,1.77,1.68,1.73,1946970,70322900
2017-10-29,1.73,1.87,1.7,1.78,1820870,70010400
2017-10-30,1.77,1.83,1.64,1.76,2439790,71637100
2017-10-31,1.84,1.88,1.69,1.79,2347980,74653100
2017-11-01,1.79,1.88,1.76,1.88,2510030,72316700
2017-11-02,1.88,2.06,1.87,2.0,2874820,76134000
2017-11-03,1.97,2.06,1.91,2.02,1767180,79944000
2017-11-04,2.01,2.77,1.92,2.3,657224,81388100
2017-11-05,2.3,2.53,2.3,2.39,434228,93101600
2017-11-06,2.39,2.51,2.25,2.33,3023650,96913600
2017-11-07,2.32,3.0,2.32,3.0,2739570,94171600
2017-11-08,2.92,2.98,2.54,2.69,2145580,118470000
2017-11-09,2.69,2.78,2.51,2.56,2177120,108908000
2017-11-10,2.57,2.68,2.27,2.32,2582300,104077000
2017-11-11,2.31,2.51,2.13,2.2,707773,93581700
2017-11-12,2.2,2.21,1.88,2.03,1061990,89184300
2017-11-13,1.97,2.31,1.97,2.22,2866130,79605100
2017-11-14,2.22,2.28,1.71,2.18,2225320,90003400
2017-11-15,1.99,2.33,1.99,2.06,488485,80622500
2017-11-16,2.1,2.39,1.96,2.24,1246300,85034300
2017-11-17,2.24,2.77,1.98,2.15,4315350,90842000
2017-11-18,2.13,2.34,2.08,2.25,3968760,86410700
2017-11-19,2.25,2.28,2.13,2.27,3143190,91170700
2017-11-20,2.27,2.43,2.18,2.33,4071480,91778800
2017-11-21,2.36,2.39,2.19,2.28,4222430,95748100
2017-11-22,2.26,3.17,2.21,2.75,14909700,91586800
2017-11-23,2.76,2.88,2.54,2.54,6968300,111694000
2017-11-24,2.54,2.89,2.42,2.87,12230000,102707000
2017-11-25,2.86,2.99,2.83,2.95,8945300,115996000
2017-11-26,2.95,3.09,2.89,3.04,11848400,119659000
2017-11-27,3.05,3.05,2.87,2.96,9224830,123400000
2017-11-28,2.97,3.08,2.83,2.9,11989100,120217000
2017-11-29,2.91,3.32,2.45,2.59,11955400,117749000
2017-11-30,2.65,3.19,2.51,2.84,11835600,107177000
2017-12-01,2.81,3.01,2.69,2.97,11403300,113994000
2017-12-02,2.94,3.06,2.81,2.86,10626700,119056000
2017-12-03,2.86,3.07,2.68,2.83,6875280,115881000
2017-12-04,2.83,2.92,2.55,2.8,9207540,114649000
2017-12-05,2.78,2.79,2.64,2.66,7310680,112654000
2017-12-06,2.64,2.81,2.39,2.61,8858640,106801000
2017-12-07,2.6,2.65,2.36,2.59,8684210,105156000
2017-12-08,2.58,2.6,2.23,2.54,6865070,104583000
2017-12-09,2.5,2.66,2.23,2.43,5895260,101414000
2017-12-10,2.45,2.45,2.15,2.2,6023980,99157700
2017-12-11,2.22,2.38,2.16,2.3,4743850,89958000
2017-12-12,2.34,2.61,2.2,2.54,7678990,94595900
2017-12-13,2.55,2.99,2.42,2.78,7521820,103239000
2017-12-14,2.76,3.08,2.63,2.91,11307200,111801000
2017-12-15,2.92,3.95,2.67,3.6,11886900,118111000
2017-12-16,3.63,4.57,3.57,4.45,20673400,146862000
2017-12-17,4.38,5.48,4.21,5.02,19239900,177439000
2017-12-18,5.02,7.78,4.77,7.47,26697800,203295000
2017-12-19,7.52,7.86,6.16,6.43,14981400,304470000
2017-12-20,6.31,7.42,5.72,6.6,17928900,255694000
2017-12-21,6.72,7.1,5.86,6.02,10766600,272353000
2017-12-22,6.08,6.14,3.97,4.82,7041970,246299000
