Date,Open,High,Low,Close,Volume,Market Cap
2014-06-23,0.000136,0.00029,0.000129,0.000184,808,5810
2014-06-24,0.000184,0.00037200000000000004,0.00014199999999999998,0.000175,829,8142
2014-06-25,0.000175,0.000175,0.00014199999999999998,0.000165,170,8214
2014-06-26,0.00016999999999999999,0.000198,0.000132,0.000168,183,8465
2014-06-27,0.000169,0.00016999999999999999,0.00014,0.000167,157,8749
2014-06-28,0.000174,0.000175,0.000143,0.000167,116,9758
2014-06-29,0.000167,0.000167,0.00013700000000000002,0.000139,128,9712
2014-06-30,0.000139,0.000173,6e-06,0.000173,26,8448
2014-07-01,0.000173,0.000176,3.2e-05,0.000166,228,10990
2014-07-02,0.000167,0.000167,5.7999999999999994e-05,0.000156,760,11061
2014-07-03,0.000156,0.000156,9e-05,9.7e-05,549,10809
2014-07-04,9.7e-05,0.000132,8.2e-05,0.000132,97,6968
2014-07-05,0.000132,0.000151,8.8e-05,8.8e-05,423,9897
2014-07-06,8.8e-05,0.000127,7e-05,8.9e-05,363,6861
2014-07-07,8.9e-05,0.000118,8.9e-05,0.000106,17,7157
2014-07-08,0.000106,0.000125,4.4e-05,5e-05,17,8824
2014-07-09,5e-05,0.000113,5e-05,7.5e-05,275,4304
2014-07-10,8.1e-05,0.00011899999999999999,4.9e-05,4.9e-05,1354,7211
2014-07-11,4.9e-05,9.499999999999999e-05,4.9e-05,9.499999999999999e-05,1155,4519
2014-07-12,9.499999999999999e-05,0.00011999999999999999,5.1e-05,9.499999999999999e-05,90,8941
2014-07-13,9.499999999999999e-05,9.499999999999999e-05,8.1e-05,8.8e-05,91,9240
2014-07-14,8.8e-05,0.000106,5e-05,7.4e-05,92,8763
2014-07-15,7.4e-05,7.5e-05,5.6000000000000006e-05,6.2e-05,70,7641
2014-07-16,6.2e-05,6.2e-05,5.5e-05,6.2e-05,19,6559
2014-07-17,6.2e-05,9.2e-05,6.2e-05,6.9e-05,63,6671
2014-07-18,6.2e-05,8.2e-05,3.8e-05,3.8e-05,86,6909
2014-07-19,3.8e-05,0.00010700000000000001,2.5e-05,0.00010700000000000001,181,4295
2014-07-20,0.00010700000000000001,0.00011899999999999999,8.1e-05,8.7e-05,519,12429
2014-07-21,8.7e-05,0.000118,7.4e-05,8.1e-05,858,10405
2014-07-22,8.1e-05,0.00011200000000000001,8.1e-05,9.9e-05,871,9862
2014-07-23,9.9e-05,0.000118,5e-05,0.000105,1070,12388
2014-07-24,0.000105,0.000105,7.8e-05,9e-05,1070,13400
2014-07-25,9e-05,0.00010800000000000001,7.2e-05,0.000102,639,11736
2014-07-26,0.000102,0.00010800000000000001,8.3e-05,0.00010700000000000001,430,13586
2014-07-27,0.00010700000000000001,0.00010800000000000001,7.099999999999999e-05,0.00010700000000000001,300,14545
2014-07-28,0.00010700000000000001,0.00010700000000000001,8.1e-05,8.8e-05,214,14803
2014-07-29,8.8e-05,0.0001,7.6e-05,9.9e-05,208,12398
2014-07-30,9.9e-05,0.000105,8e-05,9.6e-05,265,14300
2014-07-31,9.6e-05,0.000106,7e-05,7e-05,349,14143
2014-08-01,7e-05,0.00010800000000000001,7e-05,0.000101,298,10512
2014-08-02,0.000101,0.000101,8.2e-05,0.0001,272,15393
2014-08-03,0.0001,0.0001,7e-05,8.8e-05,219,15516
2014-08-04,8.8e-05,0.0001,7e-05,8.2e-05,248,13873
2014-08-05,8.2e-05,0.0001,6.4e-05,0.0001,250,13239
2014-08-06,0.0001,0.0001,5.7999999999999994e-05,5.7999999999999994e-05,108,16267
2014-08-07,5.7999999999999994e-05,5.9e-05,4.7e-05,4.7e-05,96,9709
2014-08-08,4.7e-05,4.7e-05,2.9999999999999997e-05,3.6e-05,80,7955
2014-08-09,3.6e-05,3.6e-05,2.8999999999999997e-05,2.8999999999999997e-05,26,6100
2014-08-10,2.8999999999999997e-05,5.9e-05,2.4e-05,2.9999999999999997e-05,18,5138
2014-08-11,2.9999999999999997e-05,6.4e-05,2.8999999999999997e-05,4.6e-05,49,5239
2014-08-12,4.6e-05,4.6e-05,3.4e-05,3.4e-05,40,8301
2014-08-13,3.4e-05,5.6000000000000006e-05,3.3e-05,3.8e-05,9,6255
2014-08-14,3.8e-05,9.1e-05,3.6e-05,9.1e-05,471,7095
2014-08-15,9.2e-05,9.300000000000001e-05,4e-05,5.5e-05,499,17328
2014-08-16,5.5e-05,7.3e-05,5.2000000000000004e-05,7.3e-05,116,10466
2014-08-17,7.3e-05,7.3e-05,3.9e-05,6.4e-05,80,14095
2014-08-18,6.4e-05,6.8e-05,3.6e-05,3.7e-05,13,12569
2014-08-19,3.7e-05,6.2e-05,3.6e-05,4.4e-05,13,7365
2014-08-20,4.4e-05,4.7e-05,4.2e-05,4.6e-05,7,8827
2014-08-21,4.6e-05,6.2e-05,3.1e-05,3.1e-05,14,9417
2014-08-22,3.1e-05,7.3e-05,2.9999999999999997e-05,7.2e-05,216,6452
2014-08-23,7.2e-05,7.2e-05,3.5e-05,3.5e-05,445,15133
2014-08-24,3.5e-05,5.1e-05,2.9999999999999997e-05,5.1e-05,278,7443
2014-08-25,5.1e-05,6.6e-05,2.9999999999999997e-05,6.500000000000001e-05,98,10982
2014-08-26,6.500000000000001e-05,6.7e-05,3.5e-05,6.7e-05,205,14299
2014-08-27,6.7e-05,6.8e-05,3.6e-05,6.1e-05,153,14758
2014-08-28,6.1e-05,6.2e-05,3.6e-05,5.1e-05,53,13761
2014-08-29,5.1e-05,7.6e-05,4.6e-05,5.1e-05,336,11553
2014-08-30,5.1e-05,6.6e-05,4.5e-05,5e-05,326,11694
2014-08-31,5e-05,5e-05,4.3e-05,4.8e-05,21,11688
2014-09-01,4.8e-05,8.1e-05,4.7e-05,8.1e-05,365,11253
2014-09-02,8.1e-05,8.1e-05,3.3e-05,3.3e-05,427,19219
2014-09-03,3.3e-05,6.2e-05,3.3e-05,4.8e-05,228,8047
2014-09-04,4.8e-05,4.9e-05,4.8e-05,4.9e-05,172,11648
2014-09-05,4.9e-05,4.9e-05,2.8999999999999997e-05,2.8999999999999997e-05,77,12074
2014-09-06,2.8999999999999997e-05,4.4e-05,2.8999999999999997e-05,3.4e-05,78,7234
2014-09-07,3.4e-05,4.4e-05,3.4e-05,4.3e-05,404,8564
2014-09-08,4.3e-05,4.4e-05,4.2e-05,4.3e-05,515,11055
2014-09-09,4.3e-05,4.7e-05,3.8e-05,3.8e-05,144,11014
2014-09-10,3.8e-05,7.7e-05,3.8e-05,4.3e-05,382,9909
2014-09-11,4.3e-05,4.8e-05,4.3e-05,4.8e-05,367,11365
2014-09-12,4.8e-05,6.2e-05,4.7e-05,4.8e-05,13,12763
2014-09-13,4.8e-05,7.2e-05,4.8e-05,7.2e-05,99,12847
2014-09-14,7.2e-05,7.2e-05,5.2000000000000004e-05,5.3e-05,125,19527
2014-09-15,5.3e-05,5.3e-05,4.7e-05,4.8e-05,28,14427
2014-09-16,4.7e-05,5.6000000000000006e-05,4.7e-05,5.1e-05,442,13168
