date,close,high,low,open,since,volume,weightedAverage
17/09/2013 15:30,2.1,2.1359,2.1,2.1359,1.385E+18,10.65545671,2.102208342
18/09/2013 02:30,1.9,1.9,1.9,1.9,1.385E+18,10,1.9
25/09/2013 16:30,1.86,1.86,1.86,1.86,1.385E+18,2,1.86
29/09/2013 06:00,1.85,1.86,1.85,1.86,1.385E+18,3.37297,1.858894239
07/10/2013 23:00,1.5,1.5,1.5,1.5,1.385E+18,3,1.5
11/10/2013 11:30,1.61,1.61,1.61,1.61,1.385E+18,4.34783,1.61
26/10/2013 20:30,1.6,1.6,1.6,1.6,1.385E+18,15,1.6
29/10/2013 12:30,1,1,1,1,1.385E+18,0.66911,1
29/10/2013 23:30,1.25,1.4,1.25,1.4,1.385E+18,150,1.2555
31/10/2013 10:00,2,2,2,2,1.385E+18,2,2
31/10/2013 12:30,2,2,2,2,1.385E+18,50,2
01/11/2013 12:30,2,2,2,2,1.385E+18,50,2
01/11/2013 14:30,2,2,2,2,1.385E+18,50,2
03/11/2013 09:00,2,2,2,2,1.385E+18,15,2
04/11/2013 10:00,2.099,2.099,2.099,2.099,1.385E+18,5.71700809,2.099
04/11/2013 11:30,2.099,2.099,2.099,2.099,1.385E+18,4.28299191,2.099
04/11/2013 15:00,2.5,2.5,2.5,2.5,1.385E+18,3.148,2.5
04/11/2013 18:00,2.5,2.5,2.5,2.5,1.385E+18,36.852,2.5
04/11/2013 18:30,2.5,2.5,2.5,2.5,1.385E+18,11.8,2.5
04/11/2013 19:00,2.1,2.1,2.1,2.1,1.385E+18,8.45475,2.1
05/11/2013 16:30,2.5,2.5,2.5,2.5,1.385E+18,50,2.5
05/11/2013 20:00,2.6,2.6,2.6,2.6,1.385E+18,9.23076923,2.6
05/11/2013 23:00,2.6,2.6,2.6,2.6,1.385E+18,2.4,2.6
06/11/2013 07:00,2.6,2.6,2.6,2.6,1.385E+18,16,2.6
06/11/2013 11:30,2.6,2.6,2.6,2.6,1.385E+18,11.23076923,2.6
06/11/2013 12:00,2.5,2.5,2.5,2.5,1.385E+18,10,2.5
06/11/2013 12:30,2.1,2.1,2.1,2.1,1.385E+18,6,2.1
06/11/2013 13:00,2.6,2.6,2.6,2.6,1.385E+18,2.69230769,2.6
