Date,Open,High,Low,Close,Volume,Market Cap
2018-01-25,0.16075799999999998,0.17341700000000002,0.149558,0.16663699999999998,10037600,-
2018-01-26,0.166205,0.167652,0.12822,0.141036,6707780,-
2018-01-27,0.140381,0.148028,0.133046,0.14411500000000002,5877600,-
2018-01-28,0.144923,0.166941,0.135277,0.14269300000000001,6886480,-
2018-01-29,0.143886,0.147148,0.118942,0.135756,5472550,-
2018-01-30,0.135802,0.135963,0.106004,0.108075,3722560,-
2018-01-31,0.10924500000000001,0.11980899999999998,0.09740399999999999,0.110909,13940000,-
2018-02-01,0.11118800000000001,0.11923299999999999,0.085958,0.091275,14571200,-
2018-02-02,0.09144400000000001,0.11830399999999999,0.076407,0.100989,9770960,-
2018-02-03,0.101164,0.109508,0.090126,0.099179,21363900,-
2018-02-04,0.099082,0.10332999999999999,0.081624,0.085895,20485000,-
2018-02-05,0.085298,0.086299,0.052832000000000004,0.055123,13223200,-
2018-02-06,0.055699,0.064707,0.045033,0.064342,15080000,-
2018-02-07,0.064041,0.093836,0.056040999999999994,0.070631,20268100,-
2018-02-08,0.070636,0.092279,0.066131,0.067482,20064900,-
2018-02-09,0.067337,0.07708,0.06289600000000001,0.074794,16896700,-
2018-02-10,0.074709,0.077822,0.068247,0.069812,8073500,-
2018-02-11,0.069702,0.07507899999999999,0.06327999999999999,0.070483,7536620,-
2018-02-12,0.070802,0.07326,0.069409,0.071909,6846620,-
2018-02-13,0.07174,0.076453,0.068551,0.06881,7853130,-
2018-02-14,0.068656,0.075206,0.067591,0.071423,8520290,-
2018-02-15,0.071483,0.077448,0.071449,0.07508300000000001,8073340,-
2018-02-16,0.07509600000000001,0.078208,0.073598,0.077658,7877440,-
2018-02-17,0.077598,0.087476,0.076774,0.087476,8468080,-
2018-02-18,0.087504,0.098065,0.085113,0.085113,12786200,-
2018-02-19,0.084936,0.091478,0.083574,0.089296,9473940,-
2018-02-20,0.089395,0.090036,0.079273,0.079788,7892450,-
2018-02-21,0.079653,0.079653,0.070654,0.07198099999999999,7239450,-
2018-02-22,0.071866,0.079944,0.068036,0.068449,7571420,-
2018-02-23,0.06855499999999999,0.07304400000000001,0.067465,0.071202,7299670,-
2018-02-24,0.07115,0.073786,0.06744299999999999,0.06915700000000001,6692480,-
2018-02-25,0.069047,0.069223,0.065224,0.065876,6240760,-
2018-02-26,0.065928,0.073387,0.063525,0.06805,6262910,-
2018-02-27,0.068225,0.072301,0.06440900000000001,0.066077,7238730,-
2018-02-28,0.066339,0.067308,0.062204999999999996,0.062204999999999996,6612210,-
2018-03-01,0.061972,0.066686,0.06046900000000001,0.065233,6552570,-
2018-03-02,0.0654,0.06979500000000001,0.061283000000000004,0.063213,8510250,-
2018-03-03,0.063261,0.06461499999999999,0.062299,0.06323,6423600,-
2018-03-04,0.063166,0.063433,0.061003999999999996,0.06278500000000001,6125400,-
2018-03-05,0.06268,0.063213,0.056813,0.058013,9162980,-
2018-03-06,0.05796900000000001,0.05814299999999999,0.050024,0.050062,6955420,-
2018-03-07,0.050255,0.051177999999999994,0.038192000000000004,0.041578,5294670,-
2018-03-08,0.041487,0.045262000000000004,0.037638,0.037922000000000004,5027780,24892300
2018-03-09,0.038182,0.041608,0.032683,0.037265,5305480,22909300
2018-03-10,0.036485000000000004,0.039092,0.034414,0.034414,3895890,21891000
2018-03-11,0.034214,0.038748000000000005,0.033397,0.038072,3960060,20528100
2018-03-12,0.038461,0.038994,0.034627,0.035942,9072820,23076300
2018-03-13,0.03589,0.038129,0.035082999999999996,0.037189,2400160,21534000
2018-03-14,0.037223,0.038013,0.035143,0.035470999999999996,5053460,22333900
2018-03-15,0.035391000000000006,0.03613,0.031344,0.033029,4890140,21234700
2018-03-16,0.033102,0.037472000000000005,0.031713,0.034858,4908460,19861500
2018-03-17,0.034869,0.035824,0.032019,0.032776,4469240,20921400
2018-03-18,0.032789,0.032933,0.02702,0.031211000000000003,4850500,19673200
2018-03-19,0.03127,0.038238999999999995,0.029705000000000002,0.034283999999999995,5298900,18762200
2018-03-20,0.0347,0.0347,0.030573000000000003,0.034245,5512180,20820100
2018-03-21,0.034451,0.042069,0.034266000000000005,0.03663,5521760,20670800
2018-03-22,0.036331999999999996,0.038744,0.032865,0.035039999999999995,5010500,21799100
2018-03-23,0.035106,0.036367000000000003,0.032271,0.036367000000000003,4887650,21063800
2018-03-24,0.036572,0.040806,0.03584,0.037426999999999995,5138510,21943300
2018-03-25,0.036759,0.037626,0.035674000000000004,0.036011,4911420,22055600
2018-03-26,0.035989,0.037771,0.032069,0.033572000000000005,4952580,21593300
2018-03-27,0.033505,0.033875,0.030679,0.032070999999999995,3640750,20103000
2018-03-28,0.031975,0.040769,0.031336,0.037888,6251840,19185200
2018-03-29,0.037881,0.038855,0.034512,0.034573,5166780,22728900
2018-03-30,0.034483,0.035456,0.032003,0.032623,4932980,20689800
2018-03-31,0.03269,0.035981,0.03269,0.033500999999999996,4643800,19614000
2018-04-01,0.033513999999999995,0.034997,0.031756,0.033652999999999995,4832300,20108200
2018-04-02,0.033747000000000006,0.036712,0.033264999999999996,0.034905,5520540,20248200
2018-04-03,0.035191,0.038071,0.034726,0.036627999999999994,5430140,21114800
2018-04-04,0.036632,0.036786,0.033634,0.033634,4771530,21978900
2018-04-05,0.033593,0.035226,0.032941000000000005,0.033652999999999995,4749290,20156000
2018-04-06,0.033541,0.034043000000000004,0.032405,0.032763,4516170,20124800
2018-04-07,0.032827999999999996,0.035819,0.03271,0.033984,4837220,19696600
2018-04-08,0.033944,0.035355000000000004,0.033916,0.034314,4613540,20366600
2018-04-09,0.034306,0.03533,0.033083,0.033456,5003310,20583300
2018-04-10,0.033519,0.036942,0.033483,0.035713,5509700,20111500
2018-04-11,0.03578,0.042792000000000004,0.035772000000000005,0.038936,6378460,21467900
2018-04-12,0.038935000000000004,0.046245,0.038791,0.046141,7113530,23361300
2018-04-13,0.046236,0.051475,0.044525999999999996,0.045989999999999996,6838530,27741800
2018-04-14,0.044968,0.046588,0.042743,0.044729000000000005,5627010,26981000
2018-04-15,0.04475,0.046721,0.043442,0.045426,5726820,26850100
2018-04-16,0.045597000000000006,0.046981,0.041941,0.044506,6338010,27358000
2018-04-17,0.044492000000000004,0.045535,0.042608999999999994,0.043088999999999995,5177010,26695500
