Date,Open,High,Low,Close,Volume,Market Cap
2015-03-27,0.00011399999999999999,0.000174,8.1e-05,0.000124,318,-
2015-03-28,0.000123,0.000376,0.000123,0.000157,482,1470
2015-03-29,0.000157,0.000301,0.000136,0.000176,664,2082
2015-03-30,0.000177,0.00021,0.000117,0.00011999999999999999,591,2576
2015-03-31,0.00011999999999999999,0.000164,6.7e-05,0.000134,266,1896
2015-04-01,0.000134,0.00034500000000000004,0.000101,0.000176,1132,2292
2015-04-02,0.000176,0.00035099999999999997,0.000174,0.000281,588,3152
2015-04-03,0.000281,0.000323,0.00020800000000000001,0.00020899999999999998,906,5029
2015-04-04,0.00020899999999999998,0.000251,0.000207,0.000218,301,3741
2015-04-05,0.000218,0.000239,0.000207,0.00021400000000000002,329,3905
2015-04-06,0.00021400000000000002,0.00022,8.4e-05,0.000138,475,3826
2015-04-07,0.000138,0.000193,9.9e-05,0.000129,181,2467
2015-04-08,0.000129,0.000161,0.000105,0.00011,184,2310
2015-04-09,0.00011,0.000118,8.3e-05,8.3e-05,75,1971
2015-04-10,8.3e-05,0.000245,5.2000000000000004e-05,0.000172,494,1483
2015-04-11,0.000172,0.00018600000000000002,0.000122,0.000122,293,3085
2015-04-12,0.000122,0.000122,6.8e-05,7e-05,87,2189
2015-04-13,7e-05,7e-05,3.8e-05,4.1e-05,54,1258
2015-04-14,4.1e-05,5.5e-05,2.2e-05,3.1e-05,100,727
2015-04-15,3.1e-05,6.500000000000001e-05,1.1e-05,1.3000000000000001e-05,116,549
2015-04-16,1.3000000000000001e-05,4.9e-05,1.2e-05,1.9e-05,57,240
2015-04-17,1.9e-05,0.00020099999999999998,1.6e-05,2.8999999999999997e-05,182,337
2015-04-18,2.8999999999999997e-05,0.0001,1.8e-05,2.8999999999999997e-05,83,518
2015-04-19,2.8999999999999997e-05,2.8999999999999997e-05,1.6e-05,2.2e-05,22,520
2015-04-20,2.2e-05,2.5e-05,1.6e-05,1.6e-05,21,398
2015-04-21,1.6e-05,6.1e-05,1.6e-05,3.1e-05,37,281
2015-04-22,3.1e-05,3.5e-05,1.7e-05,2.1e-05,54,548
2015-04-23,2.1e-05,2.3e-05,1.9e-05,1.9e-05,28,376
2015-04-24,1.9e-05,2.3e-05,1.6e-05,2.3e-05,43,338
2015-04-25,2.3e-05,2.7000000000000002e-05,2.3e-05,2.3e-05,30,414
2015-04-26,2.3e-05,2.4e-05,2.1e-05,2.2e-05,31,405
2015-04-27,2.2e-05,3.8e-05,2.2e-05,2.3e-05,36,393
2015-04-28,2.3e-05,2.7000000000000002e-05,2.2e-05,2.3e-05,27,1233
2015-04-29,2.3e-05,2.3e-05,1.1e-05,1.4000000000000001e-05,77,1244
2015-04-30,1.4000000000000001e-05,4.7e-05,9e-06,9e-06,76,766
