Date,Open,High,Low,Close,Volume,Market Cap
2015-08-26,4.6e-05,5.3e-05,4.1e-05,4.1e-05,25580,-
2015-08-27,4.1e-05,5.4000000000000005e-05,3.8e-05,4.3e-05,9605,-
2015-08-28,4.3e-05,4.7e-05,3.5e-05,3.9e-05,6165,-
2015-08-29,3.9e-05,4.2e-05,3.4e-05,3.4e-05,2025,-
2015-08-30,3.7e-05,3.9e-05,2.7000000000000002e-05,3.2e-05,5895,-
2015-08-31,3.2e-05,3.4e-05,2.7000000000000002e-05,2.9999999999999997e-05,2249,148857
2015-09-01,2.9999999999999997e-05,3.2e-05,2.8999999999999997e-05,2.9999999999999997e-05,1436,139925
2015-09-02,2.9999999999999997e-05,3.2e-05,2.7000000000000002e-05,2.8000000000000003e-05,2005,139185
2015-09-03,2.8000000000000003e-05,2.8000000000000003e-05,2.3e-05,2.5e-05,2991,129600
2015-09-04,2.5e-05,2.5e-05,2.3e-05,2.5e-05,391,118326
2015-09-05,2.5e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,1154,119699
2015-09-06,2.3e-05,2.8999999999999997e-05,2.3e-05,2.8999999999999997e-05,1481,111178
2015-09-07,2.8999999999999997e-05,5.1e-05,2.6000000000000002e-05,4.3e-05,12820,136381
2015-09-08,4.3e-05,9e-05,4.3e-05,7.8e-05,95139,204643
2015-09-09,7.8e-05,7.8e-05,4.5e-05,4.8e-05,18387,370239
2015-09-10,4.8e-05,5.5e-05,3.8e-05,4.8e-05,13512,131665
2015-09-11,4.8e-05,4.8e-05,3.8e-05,4.3e-05,6597,131661
2015-09-12,4.3e-05,4.6e-05,3.1e-05,3.3e-05,4877,119379
2015-09-13,3.3e-05,4e-05,3.1e-05,3.5e-05,1774,90969
2015-09-14,3.5e-05,3.9e-05,3.5e-05,3.5e-05,2568,95547
2015-09-15,3.5e-05,3.9e-05,2.9999999999999997e-05,3.5e-05,4489,167032
2015-09-16,3.5e-05,3.5e-05,2.9999999999999997e-05,2.9999999999999997e-05,1854,169215
2015-09-17,2.9999999999999997e-05,3.2e-05,2.8000000000000003e-05,2.9999999999999997e-05,4337,148864
2015-09-18,2.9999999999999997e-05,3.2e-05,2.8000000000000003e-05,2.9999999999999997e-05,1044,153317
2015-09-19,2.9999999999999997e-05,2.9999999999999997e-05,2.5e-05,2.8000000000000003e-05,2034,157566
2015-09-20,2.8000000000000003e-05,3.2e-05,2.8000000000000003e-05,2.8000000000000003e-05,2797,145774
2015-09-21,2.8000000000000003e-05,3.2e-05,2.7000000000000002e-05,2.9999999999999997e-05,2589,145956
2015-09-22,2.9999999999999997e-05,3.2e-05,2.8999999999999997e-05,3.2e-05,1087,155501
2015-09-23,3.2e-05,3.5e-05,2.9999999999999997e-05,3.2e-05,2988,170617
2015-09-24,3.2e-05,3.5e-05,2.9999999999999997e-05,3.3e-05,1400,170345
2015-09-25,3.3e-05,3.3e-05,3.1e-05,3.1e-05,619,173518
2015-09-26,3.1e-05,3.3e-05,2.8000000000000003e-05,3.3e-05,417,161873
2015-09-27,3.3e-05,3.3e-05,2.8000000000000003e-05,2.9999999999999997e-05,454,174232
2015-09-28,2.9999999999999997e-05,3.3e-05,2.8000000000000003e-05,2.8999999999999997e-05,1051,160996
2015-09-29,2.8999999999999997e-05,3.1e-05,2.8000000000000003e-05,2.8000000000000003e-05,1290,152952
2015-09-30,2.8000000000000003e-05,3.1e-05,2.4e-05,2.8000000000000003e-05,2762,151576
2015-10-01,2.8000000000000003e-05,3.1e-05,2.6000000000000002e-05,2.8999999999999997e-05,615,151392
2015-10-02,2.8000000000000003e-05,3.1e-05,2.6000000000000002e-05,2.8000000000000003e-05,639,152392
2015-10-03,2.8000000000000003e-05,3.1e-05,2.6000000000000002e-05,2.6000000000000002e-05,231,152497
2015-10-04,2.6000000000000002e-05,3.1e-05,2.6000000000000002e-05,2.8999999999999997e-05,291,140690
2015-10-05,2.8999999999999997e-05,3.1e-05,2.6000000000000002e-05,2.8999999999999997e-05,1177,153354
2015-10-06,2.8999999999999997e-05,2.9999999999999997e-05,2.5e-05,2.7000000000000002e-05,1968,154968
2015-10-07,2.7000000000000002e-05,3.2e-05,2.4e-05,2.7000000000000002e-05,5158,146725
2015-10-08,2.7000000000000002e-05,4.4e-05,2.4e-05,3.1e-05,16285,146962
2015-10-09,3.2e-05,3.4e-05,2.7000000000000002e-05,3.2e-05,2332,178833
2015-10-10,3.2e-05,3.4e-05,2.7000000000000002e-05,2.8999999999999997e-05,2193,182422
2015-10-11,2.8999999999999997e-05,3.5e-05,2.8999999999999997e-05,3.5e-05,5577,170595
2015-10-12,3.5e-05,3.9e-05,3.2e-05,3.7e-05,2045,201014
2015-10-13,3.7e-05,4.2e-05,3.2e-05,4e-05,5072,214138
2015-10-14,4e-05,4.1e-05,3.5e-05,3.5e-05,2738,232692
2015-10-15,3.5e-05,4.1e-05,3.3e-05,3.8e-05,4216,206154
2015-10-16,3.8e-05,5e-05,3.6e-05,4.5e-05,6601,223085
2015-10-17,4.5e-05,4.7e-05,4e-05,4.3e-05,2195,261719
2015-10-18,4.3e-05,5.6999999999999996e-05,4.3e-05,5e-05,10571,254617
2015-10-19,5e-05,5.5e-05,4.2e-05,5e-05,6603,292957
2015-10-20,5e-05,5.3e-05,3.8e-05,4e-05,5017,295474
2015-10-21,4e-05,5.1e-05,4e-05,4.5e-05,3715,239495
2015-10-22,4.5e-05,5e-05,4.1e-05,4.1e-05,4443,270394
2015-10-23,4.1e-05,4.4e-05,3.6e-05,4.1e-05,3184,247520
2015-10-24,4.1e-05,4.2e-05,3.6e-05,3.9e-05,2256,252232
2015-10-25,3.9e-05,4.4e-05,3.4e-05,3.4e-05,4755,243963
2015-10-26,3.4e-05,4e-05,3.4e-05,3.4e-05,2389,213245
2015-10-27,3.4e-05,3.8e-05,3.2e-05,3.5e-05,2826,216440
2015-10-28,3.5e-05,4.2e-05,3.3e-05,3.7e-05,3036,224698
2015-10-29,3.7e-05,4.1e-05,3.6e-05,3.8e-05,974,233720
2015-10-30,3.8e-05,4.1e-05,3.5e-05,3.9e-05,3619,241757
2015-10-31,3.9e-05,4e-05,3.4e-05,3.5e-05,1191,253610
2015-11-01,3.5e-05,3.8e-05,3.2e-05,3.6e-05,1080,223428
2015-11-02,3.6e-05,3.7e-05,3.3e-05,3.6e-05,1765,231952
2015-11-03,3.6e-05,4.3e-05,3.3e-05,3.6e-05,3222,234440
2015-11-04,3.6e-05,4.4e-05,2.7000000000000002e-05,3.7e-05,6003,236847
2015-11-05,3.3e-05,3.7e-05,2.7000000000000002e-05,3.5e-05,2027,213919
2015-11-06,3.5e-05,3.6e-05,2.8999999999999997e-05,2.9999999999999997e-05,277,229804
2015-11-07,2.9999999999999997e-05,3.5e-05,2.7000000000000002e-05,3.1e-05,1499,197798
2015-11-08,3.1e-05,3.9e-05,2.8999999999999997e-05,2.9999999999999997e-05,3334,203862
2015-11-09,2.9999999999999997e-05,3.4e-05,2.8999999999999997e-05,2.9999999999999997e-05,1684,200075
2015-11-10,2.9999999999999997e-05,3.4e-05,2.6000000000000002e-05,2.7000000000000002e-05,1687,204841
2015-11-11,2.7000000000000002e-05,2.8000000000000003e-05,2.1e-05,2.5e-05,2352,184821
2015-11-12,2.5e-05,2.8000000000000003e-05,1.9e-05,2.4e-05,3234,172334
2015-11-13,2.4e-05,2.7000000000000002e-05,2e-05,2.4e-05,1639,163910
2015-11-14,2.4e-05,2.7000000000000002e-05,2e-05,2.3e-05,1288,163802
2015-11-15,2.3e-05,2.7000000000000002e-05,1.9e-05,2.2e-05,1356,162726
2015-11-16,2.2e-05,2.2e-05,1.9e-05,2e-05,426,156966
2015-11-17,2e-05,2.4e-05,2e-05,2.3e-05,480,139747
2015-11-18,2.3e-05,2.4e-05,2e-05,2.3e-05,1198,165590
2015-11-19,2.3e-05,2.3e-05,2e-05,2e-05,213,166258
2015-11-20,2e-05,2.6000000000000002e-05,1.9e-05,2.6000000000000002e-05,1139,139430
2015-11-21,2.6000000000000002e-05,2.6000000000000002e-05,2e-05,2.3e-05,802,184261
2015-11-22,2.3e-05,2.6000000000000002e-05,2.2e-05,2.6000000000000002e-05,1115,164214
2015-11-23,2.6000000000000002e-05,2.6000000000000002e-05,1.9e-05,1.9e-05,1338,186758
2015-11-24,1.9e-05,2.3e-05,1.9e-05,2.2e-05,1126,139492
2015-11-25,2.2e-05,2.3e-05,1.9e-05,2e-05,530,161245
2015-11-26,2e-05,2.5e-05,1.8e-05,2.1e-05,1710,141776
2015-11-27,2.1e-05,2.2e-05,1.4000000000000001e-05,1.4000000000000001e-05,1372,151950
2015-11-28,1.4000000000000001e-05,1.8e-05,1.4000000000000001e-05,1.8e-05,322,102819
2015-11-29,1.8e-05,2.1e-05,1.4999999999999999e-05,1.9e-05,1108,128644
2015-11-30,1.9e-05,1.9e-05,1.1e-05,1.9e-05,3158,133670
