Date,Open,High,Low,Close,Volume,Market Cap
2014-08-20,0.002039,0.002977,0.0017870000000000002,0.002977,84067,743804
2014-08-21,0.002987,0.002987,0.002398,0.0024530000000000003,40580,1089700
2014-08-22,0.002431,0.002539,0.002163,0.002163,25010,887478
2014-08-23,0.00216,0.002263,0.001825,0.002013,18201,788985
2014-08-24,0.002014,0.0020859999999999997,0.001796,0.001935,18814,735697
2014-08-25,0.001935,0.002205,0.001755,0.002066,14115,707327
2014-08-26,0.002075,0.002116,0.001827,0.00198,14128,758836
2014-08-27,0.001982,0.0021149999999999997,0.0018,0.0018,18031,725428
2014-08-28,0.0017989999999999998,0.0019309999999999998,0.0016579999999999998,0.001791,17299,658661
2014-08-29,0.0017980000000000001,0.001917,0.001641,0.0018629999999999999,13703,658483
2014-08-30,0.0018670000000000002,0.0018690000000000002,0.001607,0.001779,6480,684247
2014-08-31,0.001775,0.001775,0.001489,0.001586,8028,650800
2014-09-01,0.001586,0.0017100000000000001,0.001544,0.0015550000000000002,3432,582059
2014-09-02,0.001553,0.001611,0.001348,0.001443,9894,570351
2014-09-03,0.001441,0.001531,0.00137,0.001516,7781,529419
2014-09-04,0.001517,0.001539,0.00137,0.001533,5683,557474
2014-09-05,0.001491,0.001516,0.0010869999999999999,0.001295,10917,548417
2014-09-06,0.001295,0.001462,0.001243,0.001443,7210,476396
2014-09-07,0.001444,0.001486,0.001302,0.0013050000000000002,5162,531572
2014-09-08,0.001303,0.001335,0.001125,0.00114,5949,480042
2014-09-09,0.001142,0.001247,0.0011070000000000001,0.001155,5732,420686
2014-09-10,0.0011539999999999999,0.001369,0.001047,0.001163,9129,425365
2014-09-11,0.001164,0.00134,0.001155,0.001208,4751,429443
2014-09-12,0.001215,0.001217,0.001135,0.00115,3895,448495
2014-09-13,0.00115,0.001173,0.001005,0.001044,5718,424605
2014-09-14,0.001044,0.001811,0.001023,0.001059,4159,385842
2014-09-15,0.001052,0.001155,0.001018,0.001155,4638,388857
2014-09-16,0.0011560000000000001,0.0012050000000000001,0.001047,0.001152,5400,427507
2014-09-17,0.001152,0.00131,0.0011300000000000001,0.00128,7099,426126
2014-09-18,0.001279,0.001529,0.0012720000000000001,0.001477,12901,473637
2014-09-19,0.0014759999999999999,0.0019039999999999999,0.0014199999999999998,0.001556,14971,546728
2014-09-20,0.0015550000000000002,0.0016769999999999999,0.001478,0.001609,7920,576412
2014-09-21,0.0015970000000000001,0.001602,0.001323,0.001338,5689,592302
2014-09-22,0.0013460000000000002,0.001457,0.001227,0.00126,5384,499533
2014-09-23,0.001287,0.001557,0.0012439999999999999,0.0015019999999999999,4515,477930
2014-09-24,0.001501,0.001685,0.001434,0.001662,6310,558074
2014-09-25,0.001661,0.001661,0.00148,0.001593,6430,617985
2014-09-26,0.001609,0.001609,0.001434,0.0015140000000000002,3183,599088
2014-09-27,0.00151,0.001582,0.001448,0.001562,4071,562520
2014-09-28,0.0015630000000000002,0.001638,0.00137,0.001372,4572,582642
2014-09-29,0.001371,0.001478,0.001344,0.001424,6563,511256
2014-09-30,0.001394,0.001539,0.00135,0.001493,9190,520093
2014-10-01,0.001495,0.001547,0.001418,0.001457,2770,558207
2014-10-02,0.001451,0.001495,0.001373,0.001401,5861,541956
2014-10-03,0.001401,0.001465,0.001324,0.0013310000000000002,2724,523630
2014-10-04,0.00133,0.0013650000000000001,0.001083,0.001103,4599,497053
2014-10-05,0.001103,0.001219,0.000978,0.001189,1588,412100
2014-10-06,0.001189,0.00121,0.001023,0.001097,3189,444109
2014-10-07,0.001083,0.001179,0.001053,0.001152,3097,404642
2014-10-08,0.001152,0.001167,0.001053,0.001124,2714,430461
2014-10-09,0.001123,0.001174,0.0008619999999999999,0.001078,4009,419577
2014-10-10,0.001077,0.001145,0.001008,0.001059,1285,402348
2014-10-11,0.001059,0.001141,0.001047,0.001086,1024,395645
2014-10-12,0.0010869999999999999,0.0011359999999999999,0.001024,0.001102,1423,406167
2014-10-13,0.0011,0.0011,0.000866,0.0009699999999999999,4224,410983
2014-10-14,0.000973,0.001439,0.000917,0.000981,4986,363653
2014-10-15,0.000982,0.000999,0.000824,0.0008609999999999999,3683,366781
2014-10-16,0.00086,0.001009,0.000671,0.000895,5695,321278
2014-10-17,0.000895,0.000895,0.000742,0.000785,3873,334559
2014-10-18,0.000785,0.000787,0.000666,0.000709,1724,293391
2014-10-19,0.000709,0.0008939999999999999,0.0006,0.0006,1712,264940
2014-10-20,0.0006,0.000686,0.000439,0.0005650000000000001,2720,224145
2014-10-21,0.0005639999999999999,0.000573,0.000379,0.000395,5801,210727
2014-10-22,0.00037799999999999997,0.000628,0.000366,0.0005269999999999999,3022,141134
2014-10-23,0.000526,0.000889,0.000526,0.00082,4020,196659
2014-10-24,0.0008089999999999999,0.000813,0.000665,0.000723,2250,302317
2014-10-25,0.000734,0.0008,0.000628,0.0007509999999999999,2918,274149
2014-10-26,0.000752,0.000752,0.000604,0.000616,575,280837
2014-10-27,0.000616,0.0006580000000000001,0.0005549999999999999,0.000616,1030,230247
2014-10-28,0.000616,0.000796,0.000605,0.000705,2795,230330
2014-10-29,0.000704,0.0008150000000000001,0.000618,0.000643,2963,263027
2014-10-30,0.0006450000000000001,0.000684,0.000608,0.000679,556,241008
2014-10-31,0.000678,0.000718,0.000628,0.000628,689,253339
2014-11-01,0.0006309999999999999,0.000633,0.000463,0.000512,1447,235772
2014-11-02,0.0005009999999999999,0.0005639999999999999,0.0004980000000000001,0.000524,478,187025
2014-11-03,0.000523,0.000538,0.000443,0.000459,1616,195471
2014-11-04,0.000459,0.000491,0.00042,0.000478,503,171412
2014-11-05,0.000479,0.000488,0.000398,0.00041900000000000005,864,178817
2014-11-06,0.00041900000000000005,0.000499,0.00040899999999999997,0.000452,907,156631
2014-11-07,0.000452,0.000462,0.00042300000000000004,0.00045,507,168967
2014-11-08,0.00045,0.0005009999999999999,0.00042,0.000443,539,167967
2014-11-09,0.000443,0.00047400000000000003,0.000437,0.000469,378,165527
2014-11-10,0.00046699999999999997,0.000647,0.00044400000000000006,0.000647,1285,174600
2014-11-11,0.0006450000000000001,0.000662,0.000551,0.0006450000000000001,1148,240952
2014-11-12,0.000646,0.000647,0.000434,0.000528,4792,241217
2014-11-13,0.000532,0.000563,0.000354,0.000439,2789,198911
2014-11-14,0.000436,0.00047699999999999994,0.00031600000000000004,0.00037999999999999997,2484,162992
2014-11-15,0.000381,0.00044100000000000004,0.00034500000000000004,0.00035499999999999996,754,142534
2014-11-16,0.000354,0.000388,0.000342,0.00035800000000000003,1348,132258
2014-11-17,0.00035800000000000003,0.000453,0.000335,0.000433,1221,133744
2014-11-18,0.000434,0.000463,0.000388,0.000412,1223,162099
2014-11-19,0.000411,0.00045700000000000005,0.00037200000000000004,0.00039,1542,153417
2014-11-20,0.00039,0.000401,0.000309,0.00033999999999999997,689,145661
2014-11-21,0.00033999999999999997,0.000365,0.000315,0.000361,475,127134
2014-11-22,0.000361,0.000361,0.000297,0.00035499999999999996,904,135037
2014-11-23,0.000356,0.000356,0.000293,0.000336,519,132861
2014-11-24,0.00034500000000000004,0.000455,0.000338,0.000433,2140,128847
2014-11-25,0.000433,0.000442,0.000377,0.000394,1327,161685
2014-11-26,0.000395,0.000397,0.000348,0.00035499999999999996,495,147524
2014-11-27,0.000354,0.00040300000000000004,0.00034700000000000003,0.000348,295,132315
2014-11-28,0.000348,0.000393,0.000344,0.000384,51,129860
2014-11-29,0.000384,0.00042300000000000004,0.000363,0.00036899999999999997,232,143401
2014-11-30,0.00036899999999999997,0.00047400000000000003,0.000354,0.00047400000000000003,2061,137720
2014-12-01,0.00047400000000000003,0.000523,0.000433,0.000446,1088,177117
2014-12-02,0.000446,0.00049,0.000437,0.00044800000000000005,217,166601
2014-12-03,0.00044800000000000005,0.000492,0.00044800000000000005,0.000479,1317,167425
2014-12-04,0.00047999999999999996,0.000496,0.00045700000000000005,0.000488,1086,179179
2014-12-05,0.000488,0.000532,0.00045599999999999997,0.00053,998,189021
2014-12-06,0.000522,0.000534,0.000469,0.000523,297,202355
2014-12-07,0.000523,0.000542,0.000482,0.00048499999999999997,835,202499
2014-12-08,0.00048499999999999997,0.000513,0.00045099999999999996,0.000452,455,187676
2014-12-09,0.000452,0.00045700000000000005,0.000395,0.000433,1506,175052
2014-12-10,0.000433,0.00044400000000000006,0.000366,0.000398,560,167891
2014-12-11,0.000401,0.00047699999999999994,0.000375,0.000407,648,155372
2014-12-12,0.00040599999999999995,0.00041900000000000005,0.000397,0.000412,131,157325
2014-12-13,0.00041,0.000424,0.000404,0.00041500000000000006,94,158949
2014-12-14,0.000414,0.00044500000000000003,0.000398,0.00041900000000000005,198,160271
2014-12-15,0.00041900000000000005,0.000425,0.000368,0.00037200000000000004,876,162124
2014-12-16,0.00037200000000000004,0.000379,0.000348,0.00035299999999999996,85,144114
2014-12-17,0.00035299999999999996,0.000384,0.000314,0.00032,338,136640
2014-12-18,0.00032,0.000323,0.000298,0.000323,331,123774
2014-12-19,0.000323,0.000401,0.000307,0.000395,744,125087
2014-12-20,0.000395,0.00041900000000000005,0.00034500000000000004,0.000361,2108,152928
2014-12-21,0.000361,0.000394,0.000334,0.00034700000000000003,772,139641
2014-12-22,0.00034700000000000003,0.000367,0.00034500000000000004,0.00035099999999999997,521,135534
2014-12-23,0.000352,0.000392,0.00034500000000000004,0.000377,203,137299
2014-12-24,0.000377,0.000392,0.000359,0.00036,188,147275
2014-12-25,0.000359,0.000384,0.00035499999999999996,0.000367,396,140340
2014-12-26,0.000367,0.0005480000000000001,0.00035800000000000003,0.000523,6672,143573
2014-12-27,0.0005480000000000001,0.000602,0.000475,0.000558,7493,214399
2014-12-28,0.000558,0.0006349999999999999,0.00042699999999999997,0.000475,6507,218698
2014-12-29,0.000475,0.0005009999999999999,0.000421,0.000426,2137,186261
2014-12-30,0.000426,0.00045999999999999996,0.0004,0.00045599999999999997,1053,167007
2014-12-31,0.000453,0.000519,0.00041900000000000005,0.000519,963,177834
2015-01-01,0.000519,0.000571,0.00044400000000000006,0.0005099999999999999,862,203796
2015-01-02,0.0005099999999999999,0.0006389999999999999,0.00047599999999999997,0.000542,4756,200226
2015-01-03,0.000541,0.0009339999999999999,0.000534,0.000785,9485,212376
2015-01-04,0.000785,0.000807,0.000468,0.000603,8194,308480
2015-01-05,0.000605,0.000727,0.000601,0.000656,1392,237896
2015-01-06,0.000656,0.000697,0.000443,0.000615,6577,258204
2015-01-07,0.000615,0.000749,0.000597,0.000682,4166,242094
2015-01-08,0.000677,0.00072,0.000638,0.000669,1125,266692
2015-01-09,0.000667,0.0009689999999999999,0.000647,0.000938,8253,262773
2015-01-10,0.000938,0.000938,0.00072,0.000736,6985,369679
