Date,Open,High,Low,Close,Volume,Market Cap
2018-04-05,1.22,2.31,1.22,2.04,1515520,-
2018-04-06,2.12,2.5,1.47,1.96,431260,-
2018-04-07,1.97,2.11,1.8,2.11,162338,-
2018-04-08,2.11,2.41,2.03,2.11,409429,-
2018-04-09,2.03,2.27,1.92,2.15,285159,-
2018-04-10,2.16,2.31,1.97,2.3,417315,-
2018-04-11,2.17,2.64,2.07,2.57,245158,-
2018-04-12,2.64,4.34,2.57,3.88,559293,-
2018-04-13,3.94,4.44,3.59,4.06,637894,-
2018-04-14,4.04,4.11,3.62,3.62,242791,-
2018-04-15,3.62,4.29,3.45,4.15,274398,-
2018-04-16,4.12,4.15,3.19,3.95,314473,-
2018-04-17,3.95,4.12,3.31,3.93,740045,60487600
2018-04-18,3.93,4.53,3.93,4.42,1288540,60114700
2018-04-19,4.42,4.96,4.36,4.9,652381,67590800
2018-04-20,4.91,9.48,4.88,8.96,3218010,75047000
2018-04-21,8.66,10.88,7.87,10.88,2379740,132404000
2018-04-22,10.46,10.64,6.51,7.61,3351450,160008000
2018-04-23,8.56,8.63,7.21,8.07,1052240,130951000
