Date,Open,High,Low,Close,Volume,Market Cap
2016-10-29,4293.37,5941.8,2006.47,2044.47,2532790,1383590
2016-10-30,2014.38,2028.46,504.54,574.82,1009210,959342
2016-10-31,570.91,2217.64,472.73,1624.58,4333820,593240
2016-11-01,1599.72,2027.05,1189.33,1333.74,4802060,2895110
2016-11-02,1326.29,1409.07,872.41,942.78,3936160,3701650
2016-11-03,940.66,1067.59,863.81,887.26,2783300,3728630
2016-11-04,887.66,889.8,601.84,603.98,2469390,4734940
2016-11-05,599.52,634.0,501.69,504.57,1984150,4167660
2016-11-06,504.27,507.5,320.54,321.79,2390590,4422370
2016-11-07,319.23,345.94,236.0,236.0,1808930,3436850
2016-11-08,233.78,308.64,178.98,308.64,2578200,3035070
2016-11-09,331.69,374.12,222.51,255.58,3706020,5098610
2016-11-10,254.94,257.49,224.83,226.17,1255400,4580450
2016-11-11,224.67,226.17,183.24,183.36,1173130,4667530
2016-11-12,183.02,189.54,144.11,144.11,1167540,4372390
2016-11-13,143.17,146.23,117.26,117.26,1401920,3875970
2016-11-14,117.55,117.82,97.18,105.06,1418260,3594280
2016-11-15,105.16,131.22,97.43,109.34,2030660,3600530
2016-11-16,109.71,115.62,96.92,96.95,1443840,4190380
2016-11-17,97.48,100.42,85.39,87.64,915597,4107780
2016-11-18,87.33,88.84,70.47,70.64,1032890,4064910
2016-11-19,71.12,72.0,64.63,65.7,822655,3622130
2016-11-20,65.29,67.63,60.27,60.27,598211,3632640
2016-11-21,59.96,60.23,53.94,54.02,711312,3627400
2016-11-22,54.01,72.02,53.39,57.9,1326320,3546160
2016-11-23,57.54,87.68,57.4,77.56,2391080,4077640
2016-11-24,78.43,102.42,69.08,97.19,4090150,5998180
2016-11-25,96.64,106.89,88.17,91.33,3525760,7953550
2016-11-26,91.13,92.36,76.02,77.3,1902290,8032700
2016-11-27,77.33,80.42,66.66,69.83,1465100,7286500
2016-11-28,69.26,75.52,66.21,70.96,1262350,6962100
2016-11-29,71.84,77.66,67.96,68.72,1275680,7698550
2016-11-30,68.76,72.94,66.71,68.69,1389900,7833490
2016-12-01,68.46,68.46,62.49,63.03,1247650,8268910
2016-12-02,63.63,64.5,60.32,60.32,1201460,8145410
2016-12-03,59.85,60.85,58.66,59.53,837752,8086360
2016-12-04,59.46,62.11,58.35,58.39,825231,8458930
2016-12-05,58.39,58.59,50.81,50.93,1036500,8728140
2016-12-06,50.97,53.08,47.48,48.74,1386070,7977960
2016-12-07,48.74,61.18,47.71,54.61,1479950,7982650
2016-12-08,54.0,57.45,53.28,53.3,797234,9229090
2016-12-09,53.38,53.44,49.7,50.37,674180,9506630
2016-12-10,50.35,50.54,48.11,49.78,539462,9328520
2016-12-11,49.6,50.56,48.34,48.48,512219,9544090
2016-12-12,48.48,50.12,48.33,49.92,650266,9674570
2016-12-13,50.02,50.02,46.55,46.78,600625,10340500
2016-12-14,46.82,47.24,43.13,44.33,801444,10014600
2016-12-15,44.41,44.41,40.08,40.31,658957,9817220
2016-12-16,40.48,42.3,40.06,40.22,417793,9235150
2016-12-17,40.22,40.22,35.8,35.84,668641,9464260
2016-12-18,35.82,40.63,35.14,36.44,603727,8685170
2016-12-19,36.55,37.48,33.91,34.47,544746,9123560
2016-12-20,34.55,40.06,34.24,36.02,1105810,8869190
2016-12-21,36.17,39.32,35.77,36.29,892439,9545130
2016-12-22,36.29,48.57,36.28,47.76,2591110,9840030
2016-12-23,48.02,63.97,45.97,52.05,4812040,13371200
2016-12-24,51.99,54.89,47.51,48.24,1362700,14847800
2016-12-25,48.52,50.01,44.06,45.85,927218,14195300
2016-12-26,45.89,46.91,42.67,43.59,896655,13753700
2016-12-27,43.5,48.31,42.16,44.38,1034630,13352300
2016-12-28,44.02,54.11,43.72,48.49,2236980,13824500
2016-12-29,48.43,52.93,48.43,50.99,1191160,15557400
2016-12-30,50.52,52.24,49.97,50.38,960167,16595400
2016-12-31,50.48,50.48,48.01,48.1,534660,16941000
2017-01-01,48.05,49.06,47.97,48.47,530961,16468900
2017-01-02,48.36,50.26,48.14,49.79,795244,16919100
2017-01-03,50.09,51.71,48.61,50.04,1131760,17880500
2017-01-04,49.8,57.25,49.72,57.03,1998750,18137500
2017-01-05,57.22,59.77,47.7,49.84,2845970,21251900
2017-01-06,49.79,52.24,45.74,47.46,1202660,18845700
2017-01-07,47.71,47.87,44.01,47.38,1084960,18393900
2017-01-08,47.39,48.17,45.62,46.11,831332,18617800
2017-01-09,46.12,46.47,45.59,46.1,668273,18441800
2017-01-10,46.22,46.37,45.03,45.66,749575,18817000
2017-01-11,45.63,46.04,39.76,40.05,1211260,18903600
2017-01-12,40.07,45.42,39.44,42.81,1387920,16884400
2017-01-13,42.66,44.47,42.28,43.21,691680,18284300
2017-01-14,43.21,44.04,42.9,43.64,575149,18834500
2017-01-15,43.63,45.41,43.02,45.15,806839,19324100
2017-01-16,45.1,45.23,43.3,43.46,667903,20288200
2017-01-17,43.58,45.25,43.4,44.68,1087180,19924600
2017-01-18,44.74,44.98,41.95,43.92,963419,20774000
2017-01-19,43.89,44.35,42.99,44.25,589695,20688300
2017-01-20,44.22,44.22,43.12,43.65,682880,21162900
2017-01-21,43.6,44.42,43.39,43.51,691633,21181600
2017-01-22,43.5,44.49,42.79,43.31,812956,21444100
2017-01-23,43.34,43.61,42.79,42.85,611189,21673400
2017-01-24,42.67,43.42,41.41,41.41,661979,21641900
2017-01-25,41.41,42.08,39.69,40.15,831920,21303700
2017-01-26,40.09,41.55,37.64,38.52,1161820,20909800
2017-01-27,38.71,40.16,37.9,38.22,939370,20464400
2017-01-28,38.23,38.98,38.09,38.2,571993,20487000
2017-01-29,38.26,41.53,38.24,38.67,890475,20775300
2017-01-30,38.65,40.31,38.52,39.98,764947,21264100
2017-01-31,39.8,40.45,38.94,39.52,973401,22181100
2017-02-01,39.57,40.29,39.44,39.89,635382,22332800
2017-02-02,39.91,40.04,38.64,39.24,678128,22811500
2017-02-03,39.25,39.31,38.01,39.02,843232,22712100
2017-02-04,39.04,39.55,38.52,39.34,635301,22873800
2017-02-05,39.37,39.45,38.12,38.16,615852,23346500
2017-02-06,38.18,38.26,37.58,37.59,639128,22919200
2017-02-07,37.63,37.78,35.46,36.42,966072,22856400
2017-02-08,36.45,36.75,34.58,35.3,951820,22402200
2017-02-09,35.32,36.13,32.25,33.34,1148210,21961100
2017-02-10,33.35,33.44,31.93,32.7,602423,20974100
2017-02-11,32.71,33.67,32.15,32.76,521365,20803800
2017-02-12,32.7,32.98,31.61,31.61,515968,21034500
2017-02-13,31.52,31.82,30.1,30.38,771020,20493800
2017-02-14,30.4,32.6,30.2,32.37,750407,19988100
2017-02-15,32.3,34.17,31.15,33.55,852288,21469300
2017-02-16,33.56,34.22,32.52,32.56,679495,22549000
2017-02-17,32.54,32.79,31.73,32.01,495639,22094500
2017-02-18,32.1,32.3,30.77,30.84,638843,22025200
2017-02-19,30.79,31.28,30.48,30.58,515481,21350900
2017-02-20,30.6,31.19,30.36,30.87,556168,21434000
2017-02-21,30.89,30.89,29.6,29.9,685559,21859000
2017-02-22,29.93,30.08,26.93,27.16,1044580,21400000
2017-02-23,27.18,32.62,26.15,29.98,1441340,19626800
2017-02-24,30.11,31.81,28.47,30.23,1180920,21953500
2017-02-25,30.12,30.71,28.58,29.15,508970,22177700
2017-02-26,29.14,29.96,28.48,29.45,505969,21661100
2017-02-27,29.37,37.96,29.36,35.94,2214690,22047100
2017-02-28,36.42,38.4,34.41,37.3,2551690,27596000
2017-03-01,37.28,41.45,37.19,41.41,2376490,28517700
2017-03-02,41.58,42.3,39.3,39.67,2385790,32105400
2017-03-03,39.71,42.0,37.73,41.8,2223230,30944900
2017-03-04,41.86,43.63,39.92,41.64,1619630,32919300
2017-03-05,41.67,41.74,39.11,39.44,802597,33074800
2017-03-06,39.44,40.33,37.83,40.32,1250700,31577900
2017-03-07,40.13,40.64,38.02,38.03,1051440,32420300
2017-03-08,38.03,38.17,35.56,35.74,1056640,30997800
2017-03-09,35.75,37.41,35.32,36.72,891767,29399200
2017-03-10,36.7,38.29,33.66,35.35,1938790,30440700
2017-03-11,35.3,40.01,35.3,39.72,1681810,29530600
2017-03-12,39.88,40.96,38.05,40.16,1838160,33651900
2017-03-13,40.17,48.38,40.17,47.66,5846470,34184000
2017-03-14,47.75,47.78,43.45,45.12,2372830,40972200
2017-03-15,45.06,46.26,43.24,45.73,2480490,38990000
2017-03-16,45.65,50.7,45.65,48.78,3945410,39820700
2017-03-17,49.12,53.54,46.33,48.27,5088250,43205000
2017-03-18,48.27,91.09,47.68,64.18,27275200,42797100
2017-03-19,63.48,80.33,59.49,69.89,13536800,56746400
2017-03-20,70.07,79.06,70.07,72.47,7465190,63138900
2017-03-21,72.09,73.63,65.09,66.64,6927260,65476600
2017-03-22,66.15,71.21,64.69,69.22,4318140,60554100
2017-03-23,69.34,69.66,65.91,66.61,2369260,63969700
2017-03-24,66.57,73.43,63.65,64.59,9363870,61898800
2017-03-25,64.77,66.48,63.15,63.4,4535020,60684200
2017-03-26,63.56,65.66,59.24,59.93,3128110,60007100
2017-03-27,60.04,62.01,54.18,54.54,3581290,57118900
2017-03-28,54.67,73.46,54.61,64.69,9419650,52396100
2017-03-29,64.96,67.71,61.76,63.36,2921400,62717300
2017-03-30,63.26,67.48,61.75,66.95,4462730,61533300
